# Jarvis Panorama -- PTEN m1 s2 2023-10-02 CSC1 panorama -- CSC1 -- 2-75 Hz -- 1,698 windows of 8 s every 1 s -- taken 2026-09-18T14:21:16
bin_lo_hz,bin_hi_hz,count_tallest_peak,count_flattened_argmax
2.0,2.156862,1,10
2.156862,2.326026,0,0
2.326026,2.508459,2,8
2.508459,2.705199,5,0
2.705199,2.91737,1,0
2.91737,3.146182,4,10
3.146182,3.39294,17,0
3.39294,3.659052,45,55
3.659052,3.946034,46,0
3.946034,4.255525,72,85
4.255525,4.58929,60,79
4.58929,4.949232,61,0
4.949232,5.337405,57,109
5.337405,5.756022,33,41
5.756022,6.207472,8,11
6.207472,6.69433,6,1
6.69433,7.219372,0,0
7.219372,7.785593,1,0
7.785593,8.396224,0,0
8.396224,9.054748,0,0
9.054748,9.76492,0,0
9.76492,10.530791,0,0
10.530791,11.35673,0,0
11.35673,12.247449,0,0
12.247449,13.208027,0,0
13.208027,14.243944,1,0
14.243944,15.361109,0,0
15.361109,16.565895,0,0
16.565895,17.865173,1,0
17.865173,19.266354,0,0
19.266354,20.777431,2,0
20.777431,22.407024,2,0
22.407024,24.164426,2,2
24.164426,26.059664,26,35
26.059664,28.103546,22,13
28.103546,30.307733,70,41
30.307733,32.684795,83,104
32.684795,35.248292,135,122
35.248292,38.012847,149,163
38.012847,40.994229,162,132
40.994229,44.209442,169,161
44.209442,47.676828,129,150
47.676828,51.416164,122,106
51.416164,55.448779,139,204
55.448779,59.797676,35,31
59.797676,64.487661,19,17
64.487661,69.545486,3,0
69.545486,75.0,0,0
