# Jarvis Panorama -- PTEN m1 s2 2023-10-02 CSC1 panorama -- CSC1 -- 2-75 Hz -- 1,698 windows of 8 s every 1 s -- taken 2026-09-18T14:21:16
t_s,dominant_peak_hz,dominant_peak_margin,dominant_peak_power,dominant_flat_hz,aperiodic_exponent,r_squared
4.008,36.21048,0.1634,0.84803,37.5,1.35913,0.8799
5.0107,36.75259,0.15696,0.7844,37.5,1.3756,0.87248
6.0133,37.6006,0.13391,0.91412,37.5,1.44352,0.89658
7.016,28.45038,0.03841,0.82765,32.5,1.46415,0.88791
8.0187,31.95812,0.07935,0.79238,32.5,1.34031,0.91974
9.0213,31.88727,0.15152,0.88523,32.0,1.46502,0.87792
10.024,31.89318,0.03611,0.65864,48.0,1.30934,0.9193
11.0267,35.43102,0.00444,0.71309,32.5,1.2977,0.92998
12.0293,31.9292,0.0063,0.80853,32.5,1.35538,0.89991
13.032,35.88501,0.07974,0.70762,32.5,1.40494,0.91036
14.0347,36.46775,0.10228,0.80297,36.5,1.44895,0.92394
15.0373,36.45861,0.15869,0.84217,36.5,1.48707,0.93414
16.04,36.50966,0.1567,0.78682,36.5,1.43595,0.93509
17.0427,36.46791,0.15478,0.8184,36.5,1.39655,0.92496
18.0453,30.84068,0.01708,0.71034,36.5,1.37029,0.90413
19.048,36.50842,0.26022,0.84643,36.5,1.59353,0.90968
20.0507,36.49932,0.0074,0.86286,36.5,1.29302,0.91612
21.0533,34.698,0.0176,0.72517,3.5,1.32666,0.91842
22.056,34.73468,0.07292,0.68975,41.5,1.33593,0.91785
23.0587,3.95831,0.12602,0.86842,3.5,1.29753,0.92152
24.0613,41.37118,0.08478,0.75373,34.5,1.51938,0.88403
25.064,3.99207,0.11847,0.73807,32.5,1.3227,0.92001
26.0667,3.89258,0.10844,0.75515,32.5,1.35996,0.90731
27.0693,4.00446,0.2472,0.78305,32.5,1.28355,0.90776
28.072,3.95976,0.26684,0.8502,4.0,1.24272,0.91426
29.0747,3.98302,0.29696,0.81426,4.0,1.17956,0.88153
30.0773,32.23367,0.14013,0.6876,4.0,1.19321,0.87864
31.08,32.33489,0.00388,0.6853,32.5,1.36263,0.93427
32.0827,4.07588,0.22745,0.80503,4.0,1.28807,0.91961
33.0853,4.16428,0.37469,0.71399,4.0,1.36469,0.92044
34.088,4.18434,0.1127,0.58968,3.5,1.42355,0.938
35.0907,51.55665,0.24722,0.72177,51.5,1.43217,0.93729
36.0933,51.5017,0.12247,0.74337,51.5,1.44244,0.9395
37.096,51.48576,0.05382,0.7092,51.5,1.4955,0.9355
38.0987,43.06119,0.15661,0.62184,43.0,1.66758,0.91274
39.1013,43.10199,0.05021,0.6444,43.0,1.76827,0.93746
40.104,46.37852,0.14748,0.64329,43.0,1.79429,0.91609
41.1067,46.3722,0.05711,0.65866,43.0,1.84922,0.91648
42.1093,46.3169,0.00512,0.70023,38.0,1.7205,0.93531
43.112,40.44499,0.05865,0.69493,4.0,1.43149,0.90113
44.1147,40.32776,0.03896,0.70031,4.5,1.41023,0.91389
45.1173,37.96082,0.09608,0.7165,41.0,1.56837,0.92854
46.12,41.1826,0.10663,0.70769,40.5,1.47826,0.93919
47.1227,41.22568,0.00698,0.62829,38.0,1.69951,0.92815
48.1253,41.32662,0.08743,0.70938,38.0,1.4772,0.95156
49.128,41.37075,0.15273,0.69979,41.0,1.63811,0.92738
50.1307,3.43317,0.11796,0.6852,47.5,1.49045,0.94759
51.1333,32.59048,0.01541,0.72546,32.5,1.41989,0.93448
52.136,3.67357,0.05613,0.73539,37.5,1.47227,0.90037
53.1387,32.52574,0.12767,0.83505,32.5,1.48647,0.90877
54.1413,32.57259,0.16866,0.82354,32.5,1.52131,0.91801
55.144,6.16447,0.04337,0.67936,32.5,1.60398,0.91438
56.1467,38.22577,0.06069,0.67561,5.5,1.45113,0.92497
57.1493,5.27739,0.00428,0.63898,41.5,1.46453,0.91173
58.152,5.21563,0.04622,0.63614,45.0,1.4306,0.91866
59.1547,5.33318,0.05196,0.65648,45.0,1.42358,0.91885
60.1573,38.70869,0.06182,0.80587,39.0,1.41321,0.91853
61.16,4.51538,0.01984,0.8376,4.5,1.23316,0.86584
62.1627,5.44936,0.06281,0.81957,5.0,1.13234,0.8724
63.1653,4.40325,0.21342,0.86315,4.0,1.21564,0.87072
64.168,39.2588,0.01265,0.80256,39.5,1.54551,0.90841
65.1707,34.9928,0.04588,0.78525,31.5,1.60706,0.91036
66.1733,5.82906,0.09475,0.8393,5.5,1.26287,0.94762
67.176,4.82939,0.13445,0.88969,5.5,1.26001,0.92666
68.1787,5.16712,0.2471,0.94575,6.0,1.30744,0.88539
69.1813,5.25128,0.22106,1.02108,5.5,1.29011,0.89159
70.184,5.72019,0.4057,1.30799,5.5,1.35038,0.91267
71.1867,5.66446,0.45361,1.46688,6.0,1.23781,0.90709
72.1893,5.64019,0.50172,1.60114,5.5,1.1402,0.91843
73.192,5.6432,0.5765,1.59571,5.5,1.09295,0.9262
74.1947,5.62585,0.51997,1.37894,5.5,1.20754,0.93188
75.1973,5.42769,0.42151,1.34307,5.5,1.26724,0.90709
76.2,5.47847,0.33101,1.26256,5.5,1.33603,0.90513
77.2027,5.42277,0.46168,1.23485,5.5,1.32548,0.90423
78.2053,5.40424,0.40672,1.21472,5.5,1.35667,0.90606
79.208,5.44409,0.4017,1.20435,5.5,1.33455,0.91428
80.2107,5.41299,0.33422,1.24558,5.5,1.33095,0.9098
81.2133,5.43525,0.39573,1.41067,5.5,1.2697,0.89556
82.216,5.4715,0.41706,1.50552,5.5,1.16854,0.91343
83.2187,5.34696,0.3776,1.35715,5.5,1.18374,0.90705
84.2213,5.34081,0.0,1.36425,5.5,1.20268,0.90991
85.224,5.16036,0.45276,1.38992,5.0,1.24218,0.90409
86.2267,5.18145,0.45367,1.37682,5.0,1.2951,0.90354
87.2293,5.24843,0.43031,1.39244,5.0,1.21615,0.89808
88.232,5.13733,0.34333,1.33222,5.0,1.32093,0.91267
89.2347,5.02152,0.39698,1.35125,5.0,1.39375,0.94316
90.2373,5.06587,0.40224,1.37476,5.0,1.44554,0.94856
91.24,5.10166,0.33439,1.23431,5.0,1.47441,0.93603
92.2427,5.07448,0.33676,1.27223,5.0,1.45379,0.93002
93.2453,5.04734,0.264,1.26722,5.0,1.52148,0.92684
94.248,5.04753,0.37267,1.3445,5.0,1.3988,0.92492
95.2507,5.18395,0.34731,1.2241,5.0,1.3124,0.91157
96.2533,5.22686,0.34536,1.25365,5.0,1.24366,0.91906
97.256,5.2144,0.37969,1.24192,5.0,1.26974,0.92966
98.2587,5.20437,0.2147,1.18654,5.0,1.30195,0.92892
99.2613,5.19367,0.24298,1.19435,5.0,1.27899,0.93678
100.264,5.15883,0.27822,1.22447,5.0,1.23483,0.92295
101.2667,5.20259,0.10062,1.03366,5.0,1.34761,0.92056
102.2693,5.02867,0.12739,1.09627,4.5,1.33639,0.92022
103.272,5.02201,0.14782,1.12555,4.5,1.41518,0.91707
104.2747,5.04927,0.19518,1.1219,4.5,1.42717,0.93043
105.2773,4.96378,0.33184,1.24936,5.0,1.41037,0.92563
106.28,4.93645,0.3228,1.30447,5.0,1.42571,0.91167
107.2827,4.94596,0.34609,1.23497,5.0,1.46054,0.93902
108.2853,4.88117,0.34001,1.25345,5.0,1.42125,0.92088
109.288,4.91647,0.31232,1.21574,5.0,1.43926,0.92419
110.2907,4.79398,0.31167,1.21469,5.0,1.49807,0.93244
111.2933,4.82443,0.19616,1.2376,5.0,1.47776,0.92509
112.296,4.69312,0.17358,1.1042,5.0,1.4754,0.94268
113.2987,4.68726,0.13942,1.10778,4.5,1.43322,0.94672
114.3013,4.65059,0.40364,1.119,4.5,1.39256,0.938
115.304,4.66017,0.18339,1.09312,4.5,1.3785,0.94224
116.3067,4.58828,0.25629,1.06481,5.0,1.31466,0.9324
117.3093,4.54063,0.16041,0.89216,5.0,1.33667,0.91333
118.312,4.04518,0.15258,0.84996,42.5,1.32994,0.91595
119.3147,42.22993,0.05139,0.73571,42.5,1.29836,0.89257
120.3173,32.78053,0.01918,0.70251,2.0,1.21803,0.87635
121.32,32.861,0.06815,0.73717,30.0,1.3112,0.90991
122.3227,32.84204,0.21335,0.77678,32.5,1.55445,0.89152
123.3253,33.08562,0.03131,0.751,2.0,1.22111,0.89098
124.328,29.80365,0.00243,0.59662,2.0,1.47905,0.87626
125.3307,33.02361,0.07353,0.72962,5.0,1.52098,0.85032
126.3333,29.94219,0.00503,0.79545,2.0,1.24376,0.89264
127.336,29.96544,0.15598,0.79211,44.5,1.57102,0.87672
128.3387,3.42053,0.17959,0.74605,2.0,1.28963,0.91466
129.3413,2.69005,0.08472,0.67953,2.0,1.39263,0.91469
130.344,35.69097,0.1575,0.68063,5.0,1.49888,0.92924
131.3467,35.66581,0.05791,0.62939,5.0,1.50176,0.91455
132.3493,35.63289,0.1431,0.62816,36.0,1.67511,0.89818
133.352,38.95698,0.02764,0.57654,48.5,1.67241,0.90955
134.3547,48.23145,0.18379,0.67553,48.5,1.6937,0.90998
135.3573,48.07062,0.22078,0.77803,48.5,1.72953,0.92412
136.36,48.10489,0.22453,0.81764,48.0,1.68319,0.9325
137.3627,48.10286,0.18722,0.80316,48.0,1.52165,0.92829
138.3653,48.15974,0.02475,0.66893,34.5,1.68866,0.91086
139.368,34.16846,0.15641,0.7861,34.5,1.70168,0.92049
140.3707,34.1995,0.08229,0.77684,34.5,1.71237,0.9267
141.3733,34.1489,0.14625,0.84975,34.5,1.76471,0.92486
142.376,34.13554,0.01078,0.79063,32.5,1.70226,0.91024
143.3787,33.68038,0.10626,0.74332,34.0,1.69468,0.92549
144.3813,33.20848,0.00099,0.75094,34.0,1.63162,0.93108
145.384,37.41376,0.01676,0.64129,32.5,1.72455,0.93666
146.3867,32.09935,0.18263,0.71087,47.5,1.66488,0.92173
147.3893,32.55437,0.03534,0.65244,47.5,1.58201,0.91088
148.392,32.96823,0.06951,0.59838,34.0,1.53484,0.90808
149.3947,42.93628,0.15028,0.6372,31.5,1.58137,0.90245
150.3973,36.68972,0.14862,0.68884,32.0,1.45532,0.89799
151.4,31.33843,0.1438,0.65866,32.0,1.52391,0.90132
152.4027,33.96444,0.0392,0.62912,54.5,1.51605,0.91889
153.4053,26.33581,0.13311,0.63726,26.0,1.53605,0.93295
154.408,26.87396,0.06835,0.64614,26.0,1.62243,0.9406
155.4107,29.85028,0.15815,0.7861,26.0,1.66317,0.94083
156.4133,29.72837,0.15351,0.76126,26.0,1.66553,0.93454
157.416,29.78698,0.21992,0.76643,26.0,1.64253,0.93334
158.4187,29.61163,0.15626,0.7708,26.0,1.66557,0.93614
159.4213,29.67151,0.26035,0.66823,25.5,1.66222,0.93376
160.424,39.31833,0.0077,0.53137,48.0,1.6573,0.92532
161.4267,40.73794,0.10952,0.71451,30.0,1.65728,0.91702
162.4293,25.99958,0.06917,0.6944,32.5,1.68059,0.92328
163.432,30.24681,0.00911,0.67692,32.5,1.63925,0.91522
164.4347,34.43141,0.09634,0.7613,34.5,1.60462,0.90767
165.4373,34.47906,0.11028,0.7159,34.5,1.64388,0.9035
166.44,34.90812,0.15309,0.71502,34.5,1.64717,0.9013
167.4427,35.10148,0.23984,0.64299,54.5,1.68905,0.91888
168.4453,54.62637,0.08578,0.68445,54.5,1.68164,0.92857
169.448,32.64992,0.14301,0.66681,54.5,1.69108,0.92312
170.4507,33.5116,0.05588,0.72616,34.0,1.65367,0.927
171.4533,33.52865,0.2061,0.72442,54.5,1.66039,0.90854
172.456,34.42582,0.18231,0.67116,54.5,1.5962,0.89905
173.4587,34.01968,0.07426,0.66196,33.0,1.56578,0.91327
174.4613,46.6187,0.17499,0.64874,33.0,1.54956,0.89405
175.464,46.51103,0.07504,0.70853,33.0,1.56094,0.90693
176.4667,46.49005,0.33639,0.71399,46.5,1.46837,0.881
177.4693,46.49719,0.0592,0.63993,46.5,1.5182,0.88703
178.472,29.07154,0.05619,0.52865,2.0,1.50512,0.87714
179.4747,28.94896,0.01751,0.47549,23.5,1.62409,0.91966
180.4773,28.81888,0.02198,0.58184,57.5,1.62721,0.90078
181.48,59.30725,0.09143,0.57872,57.5,1.63962,0.9017
182.4827,59.42806,0.30242,0.47897,52.0,1.59712,0.92001
183.4853,40.63949,0.08199,0.78911,49.5,1.60738,0.91299
184.488,40.66785,0.11171,0.81363,51.5,1.61272,0.91458
185.4907,49.36167,0.02591,0.67992,51.5,1.41465,0.90309
186.4933,51.40083,0.06278,0.85356,51.0,1.33745,0.91178
187.496,5.11021,0.00816,0.86702,40.5,1.34886,0.91151
188.4987,40.65445,0.0941,0.99449,40.5,1.3452,0.92123
189.5013,5.06543,0.03651,1.00353,40.5,1.32457,0.92877
190.504,4.86932,0.28507,1.20901,5.0,1.30481,0.92471
191.5067,4.89154,0.29038,1.24261,5.0,1.23485,0.92943
192.5093,4.82306,0.18409,1.20679,5.0,1.2732,0.92623
193.512,4.80726,0.05383,1.10325,5.0,1.39174,0.93645
194.5147,4.82621,0.07365,1.08207,4.5,1.36469,0.93007
195.5173,4.8224,0.18155,1.00586,5.0,1.44809,0.93104
196.52,41.78832,0.03155,0.97038,42.0,1.43825,0.92591
197.5227,41.84996,0.08999,0.86164,4.5,1.42197,0.91751
198.5253,39.97132,0.08773,0.95185,40.0,1.51672,0.92796
199.528,39.95724,0.31787,1.03291,40.0,1.71633,0.90409
200.5307,35.42841,0.02339,0.74648,35.5,1.64727,0.89116
201.5333,35.27554,0.14083,0.80294,35.5,1.62378,0.90199
202.536,35.33611,0.08536,0.777,35.5,1.63173,0.90019
203.5387,32.10898,0.12291,0.82778,32.0,1.54837,0.89427
204.5413,32.08365,0.13495,0.82392,35.5,1.56087,0.91086
205.544,29.1369,0.13189,0.65412,25.0,1.61278,0.92603
206.5467,32.12115,0.00945,0.65406,25.0,1.60245,0.92269
207.5493,31.94505,0.08008,0.64941,25.0,1.62566,0.91781
208.552,31.98285,0.16637,0.75077,32.0,1.64731,0.9133
209.5547,29.38726,0.01169,0.59358,32.0,1.4498,0.92336
210.5573,37.35351,0.00335,0.51202,32.0,1.53435,0.92197
211.56,40.98655,0.05052,0.57377,32.0,1.56333,0.9242
212.5627,32.20032,0.12804,0.65736,42.5,1.68193,0.92543
213.5653,40.36028,0.08977,0.66583,42.5,1.56004,0.94775
214.568,41.91598,0.00961,0.57296,42.5,1.71398,0.93062
215.5707,52.39089,0.17369,0.72697,52.5,1.77482,0.92102
216.5733,52.35949,0.24361,0.78636,52.5,1.73629,0.92586
217.576,52.33626,0.17268,0.76981,52.5,1.74527,0.92506
218.5787,52.30613,0.10787,0.80298,52.5,1.69765,0.90361
219.5813,31.18742,0.17579,0.74001,52.5,1.8086,0.94042
220.584,52.05405,0.13145,0.73563,31.0,1.81858,0.94071
