# Jarvis Panorama -- KCNT1 m306 s1 2026-02-24 CSC1 panorama -- CSC1 -- 2-200 Hz -- 193 windows of 8 s every 1 s -- taken 2026-09-15T17:11:28
bin_lo_hz,bin_hi_hz,count_tallest_peak,count_flattened_argmax
2.0,2.201388,0,0
2.201388,2.423055,0,0
2.423055,2.667043,0,0
2.667043,2.935599,0,0
2.935599,3.231196,0,0
3.231196,3.556559,0,0
3.556559,3.914684,0,0
3.914684,4.308869,0,0
4.308869,4.742747,1,0
4.742747,5.220314,0,0
5.220314,5.74597,0,0
5.74597,6.324555,0,0
6.324555,6.961401,0,0
6.961401,7.662374,0,0
7.662374,8.43393,0,0
8.43393,9.283178,0,0
9.283178,10.21794,0,0
10.21794,11.246827,0,0
11.246827,12.379316,0,0
12.379316,13.625841,0,0
13.625841,14.997884,0,0
14.997884,16.508084,0,0
16.508084,18.170352,0,0
18.170352,20.0,0,0
20.0,22.013883,0,0
22.013883,24.230553,2,0
24.230553,26.670429,1,7
26.670429,29.355985,13,19
29.355985,32.311962,33,22
32.311962,35.565588,12,13
35.565588,39.146836,17,11
39.146836,43.088694,37,45
43.088694,47.427474,31,33
47.427474,52.203144,11,9
52.203144,57.459697,6,4
57.459697,63.245553,15,9
63.245553,69.614012,8,19
69.614012,76.623737,3,2
76.623737,84.339301,0,0
84.339301,92.831777,0,0
92.831777,102.179395,0,0
102.179395,112.468265,0,0
112.468265,123.793164,1,0
123.793164,136.258414,0,0
136.258414,149.978842,0,0
149.978842,165.080837,0,0
165.080837,181.703515,0,0
181.703515,200.0,2,0
