# Jarvis Panorama -- KCNT1 m306 s1 2026-02-24 CSC1 panorama -- CSC1 -- 2-200 Hz -- 193 windows of 8 s every 1 s -- taken 2026-09-15T17:11:28
t_s,dominant_peak_hz,dominant_flat_hz,aperiodic_exponent,r_squared
4.0,185.59314,33.5,2.18007,0.94591
5.0,46.14803,62.5,2.19052,0.94168
6.0,61.79737,62.5,2.17023,0.942
7.0,49.0313,62.5,2.15875,0.93828
8.0,61.77956,62.5,2.32363,0.95903
9.0,61.3315,62.5,2.19995,0.95162
10.0,61.36299,62.5,2.19596,0.95292
11.0,43.62001,62.5,2.10026,0.95149
12.0,42.20408,42.5,2.09272,0.95696
13.0,42.34927,42.5,2.09946,0.96158
14.0,4.70191,42.5,2.09341,0.96148
15.0,42.39597,42.5,2.0076,0.95517
16.0,42.35152,42.5,2.08283,0.95787
17.0,42.54159,42.5,2.15002,0.9515
18.0,42.52053,42.5,2.1893,0.95625
19.0,43.51496,42.5,2.15784,0.96613
20.0,44.04789,44.5,2.11752,0.95926
21.0,43.45817,44.5,2.11218,0.95811
22.0,47.2737,44.5,2.1874,0.96043
23.0,47.60553,44.5,2.19087,0.95806
24.0,44.57049,47.0,2.16917,0.95862
25.0,31.88995,27.0,2.12051,0.96231
26.0,44.42325,48.5,1.96278,0.96111
27.0,35.91317,48.5,2.06083,0.96305
28.0,63.71849,48.5,2.07325,0.95932
29.0,63.34626,64.0,2.03759,0.95525
30.0,63.65448,64.0,2.0136,0.95227
31.0,42.30944,64.0,1.93437,0.95056
32.0,42.21076,64.0,2.07123,0.94608
33.0,26.66371,42.5,2.11218,0.94524
34.0,30.67891,30.5,2.12007,0.9465
35.0,30.6565,30.5,2.13795,0.95337
36.0,30.62055,30.5,2.2476,0.95053
37.0,35.86073,30.5,2.21551,0.95476
38.0,51.89879,26.5,2.12509,0.95633
39.0,35.44933,35.0,2.13588,0.962
40.0,30.35543,41.0,2.17698,0.95444
41.0,26.82872,41.0,2.23727,0.95476
42.0,30.46273,41.0,2.235,0.95391
43.0,24.04006,25.0,2.16912,0.95901
44.0,30.41179,25.0,2.13876,0.95809
45.0,49.37553,40.0,2.26662,0.97152
46.0,49.45275,49.0,2.26163,0.96487
