# Jarvis Panorama -- PTEN m1 s8 2023-10-05 CSC1 panorama -- CSC1 -- 2-200 Hz -- 93 windows of 8 s every 1 s -- taken 2026-09-18T14:04:13
bin_lo_hz,bin_hi_hz,count_tallest_peak,count_flattened_argmax
2.0,2.201388,0,0
2.201388,2.423055,0,0
2.423055,2.667043,0,0
2.667043,2.935599,0,0
2.935599,3.231196,0,0
3.231196,3.556559,0,0
3.556559,3.914684,0,0
3.914684,4.308869,0,0
4.308869,4.742747,0,0
4.742747,5.220314,0,0
5.220314,5.74597,0,0
5.74597,6.324555,0,0
6.324555,6.961401,0,0
6.961401,7.662374,0,0
7.662374,8.43393,0,0
8.43393,9.283178,0,0
9.283178,10.21794,0,0
10.21794,11.246827,0,0
11.246827,12.379316,0,0
12.379316,13.625841,0,0
13.625841,14.997884,0,0
14.997884,16.508084,0,0
16.508084,18.170352,0,0
18.170352,20.0,0,0
20.0,22.013883,0,0
22.013883,24.230553,0,0
24.230553,26.670429,0,0
26.670429,29.355985,0,0
29.355985,32.311962,0,0
32.311962,35.565588,0,0
35.565588,39.146836,0,0
39.146836,43.088694,0,0
43.088694,47.427474,0,0
47.427474,52.203144,3,0
52.203144,57.459697,1,0
57.459697,63.245553,0,0
63.245553,69.614012,0,0
69.614012,76.623737,0,0
76.623737,84.339301,0,0
84.339301,92.831777,0,0
92.831777,102.179395,0,0
102.179395,112.468265,33,62
112.468265,123.793164,0,0
123.793164,136.258414,0,0
136.258414,149.978842,1,0
149.978842,165.080837,55,31
165.080837,181.703515,0,0
181.703515,200.0,0,0
