# Jarvis Panorama -- PTEN m1 s8 2023-10-05 CSC1 panorama -- CSC1 -- 2-200 Hz -- 93 windows of 8 s every 1 s -- taken 2026-09-18T14:04:13
t_s,dominant_peak_hz,dominant_peak_margin,dominant_peak_power,dominant_flat_hz,aperiodic_exponent,r_squared
4.0,109.05047,0.27882,1.21057,109.0,2.33294,0.95037
5.0,109.0642,0.17383,1.10751,109.0,2.2227,0.9534
6.0,109.03424,0.16375,1.05967,109.0,2.15722,0.95264
7.0,109.04356,0.14781,0.98295,109.0,2.22454,0.9567
8.0,109.15447,0.12378,0.97927,109.0,2.25387,0.95474
9.0,109.11841,0.15898,1.03675,109.0,2.26133,0.95307
10.0,109.10488,0.1683,1.04691,109.0,2.26636,0.95164
11.0,109.06561,0.15696,1.15268,109.0,2.19545,0.9468
12.0,163.49998,0.2474,0.90932,109.0,2.28961,0.94614
13.0,109.10957,0.15562,1.09644,109.0,2.39552,0.94621
14.0,109.05638,0.29108,1.23989,109.0,2.33476,0.95495
15.0,108.95517,0.24335,1.25728,109.0,2.34547,0.95415
16.0,163.42484,0.19158,0.94197,109.0,2.37515,0.95883
17.0,108.88824,0.09093,1.05886,109.0,2.36219,0.95931
18.0,163.43041,0.14713,0.91811,109.0,2.41792,0.95294
19.0,108.94421,0.31239,1.25766,109.0,2.4289,0.95404
20.0,163.45062,0.20296,0.94941,109.0,2.4288,0.95403
21.0,163.43546,0.23415,1.00969,109.0,2.41952,0.95768
22.0,163.49554,0.21403,0.97486,109.0,2.45905,0.95887
23.0,108.96994,0.22922,1.22941,109.0,2.40775,0.95512
24.0,108.98584,0.11048,1.05142,109.0,2.44776,0.95474
25.0,163.50937,0.11058,0.90821,109.0,2.44198,0.95509
26.0,163.46672,0.1555,0.88566,109.0,2.38019,0.95111
27.0,163.38353,0.13877,0.78039,109.0,2.34376,0.95997
28.0,108.92735,0.22256,1.11759,109.0,2.35041,0.95596
29.0,108.9443,0.20397,1.18016,109.0,2.32152,0.9572
30.0,108.92274,0.25375,1.19137,109.0,2.29282,0.9553
31.0,108.94037,0.26236,1.24073,109.0,2.31224,0.95342
32.0,108.938,0.27461,1.25709,109.0,2.26457,0.94378
33.0,109.01093,0.33247,1.24456,109.0,2.30562,0.94569
34.0,108.96554,0.25185,1.139,109.0,2.3609,0.9512
35.0,163.47862,0.01801,0.89964,109.0,2.42269,0.95023
36.0,163.48934,0.2227,0.89355,109.0,2.43393,0.94721
37.0,163.48082,0.04994,0.76528,109.0,2.40768,0.94086
38.0,53.56476,0.05102,0.66821,109.0,2.32885,0.95808
39.0,147.64323,0.00719,0.69143,109.0,2.318,0.95705
40.0,51.41516,0.20661,0.72678,109.0,2.23477,0.96257
41.0,51.83547,0.18815,0.80109,109.0,2.21094,0.96073
42.0,51.76402,0.46429,1.05162,109.0,2.23235,0.96271
43.0,108.98181,0.10125,1.0531,109.0,2.20369,0.96227
44.0,108.99301,0.10763,1.04254,109.0,2.28027,0.96052
45.0,109.0567,0.34045,1.03993,109.0,2.37748,0.9569
46.0,109.04671,0.32208,1.06944,109.0,2.38893,0.95946
47.0,108.94458,0.43784,1.25071,109.0,2.44966,0.95571
48.0,108.94945,0.39573,1.12978,109.0,2.45084,0.95451
49.0,108.9522,0.33413,1.10284,109.0,2.44777,0.95266
50.0,163.41135,0.24425,0.78669,109.0,2.53249,0.95337
51.0,163.43242,0.15453,0.79405,109.0,2.43279,0.95489
52.0,108.84566,0.18243,1.09339,109.0,2.3454,0.95323
53.0,108.98246,0.26305,1.27259,109.0,2.39932,0.95776
54.0,163.44136,0.39754,1.00376,109.0,2.37896,0.95371
55.0,163.51911,0.32042,1.00027,109.0,2.4027,0.94954
56.0,163.52679,0.25737,0.99294,109.0,2.39659,0.94258
57.0,109.08673,0.0599,1.10899,109.0,2.31907,0.93555
58.0,163.54711,0.02142,1.169,109.0,2.3477,0.9392
