# Jarvis Panorama -- convergence -- Untitled set -- 3 recordings -- 2-200 Hz -- dominant by peak -- one vote per recording -- taken 2026-09-15T19:20:18
gid,recording,group,f_lo,f_hi,count,density
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,2.0,2.201388,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,2.201388,2.423055,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,2.423055,2.667043,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,2.667043,2.935599,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,2.935599,3.231196,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,3.231196,3.556559,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,3.556559,3.914684,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,3.914684,4.308869,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,4.308869,4.742747,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,4.742747,5.220314,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,5.220314,5.74597,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,5.74597,6.324555,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,6.324555,6.961401,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,6.961401,7.662374,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,7.662374,8.43393,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,8.43393,9.283178,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,9.283178,10.21794,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,10.21794,11.246827,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,11.246827,12.379316,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,12.379316,13.625841,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,13.625841,14.997884,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,14.997884,16.508084,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,16.508084,18.170352,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,18.170352,20.0,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,20.0,22.013883,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,22.013883,24.230553,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,24.230553,26.670429,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,26.670429,29.355985,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,29.355985,32.311962,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,32.311962,35.565588,,0.001592484
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,35.565588,39.146836,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,39.146836,43.088694,,0.0
s45bae70722f2,PTEN m1 s2 2023-10-02,PTEN,43.088694,47.427474,,0.0
