Extracted Sorting ID 052826,Cage Card 052826,DOB 052826,Sex 052826,Strain,Notes,Source Page,Position on Page,Raw Card Text,Card Type,External ID,Census Date,Breeding Date,Sex Normalized,Mouse Tag,Previous Tag,# Animals,Mice In Card,ID Count Matches # Animals,Created,Ref,Parse Warnings
302,CC-24368-1,05/29/25,FEMALE,KCN1-YH het,302 (F) | Split breeding pair 1,6,3,X0-145 Species MOUSE # Animals 1 Census 11/04/25 Sex FEMALE P.I. Barry J. Strain KCN1-YH het Code DOB 05/29/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 302 (F) Split breeding pair 1 Created 11/4/2025 2:20pm SPLIT-5193 • CC-24368-1 • External ID:,CENSUS,X0-145,11/04/25,,FEMALE,302,,1,1,YES,11/4/2025 2:20pm,SPLIT-5193,
304,CC-21437-4,5/29/25,MALE,Kcnt1-YH,304 | 305,1,3,X0-145 Species MOUSE # Animals 2 Census 06/20/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 5/29/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 304 305 Created 2/25/2026 3:47pm • CC-21437-4 • External ID:,CENSUS,X0-145,06/20/25,,MALE,304,,2,2,YES,2/25/2026 3:47pm,,
305,CC-21437-4,5/29/25,MALE,Kcnt1-YH,304 | 305,1,3,X0-145 Species MOUSE # Animals 2 Census 06/20/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 5/29/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 304 305 Created 2/25/2026 3:47pm • CC-21437-4 • External ID:,CENSUS,X0-145,06/20/25,,MALE,305,,2,2,YES,2/25/2026 3:47pm,,
307,CC-22037-4,6/26/25,MALE,Kcnt1-YH,508x505 | 307 | 311,2,1,X0-145 Species MOUSE # Animals 2 Census 07/08/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 508x505 307 311 Created 2/17/2026 1:43pm • CC-22037-4 • External ID:,CENSUS,X0-145,07/08/25,,MALE,307,,2,2,YES,2/17/2026 1:43pm,,
308,CC-27042-1,6/26/25,MALE,Kcnt1-YH,508x505 | 308,10,2,X0-145 Species MOUSE # Animals 1 Census 03/23/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 508x505 308 Created 3/23/2026 10:53am SPLIT-6240 • CC-27042-1 • External ID:,CENSUS,X0-145,03/23/26,,MALE,308,,1,1,YES,3/23/2026 10:53am,SPLIT-6240,
311,CC-22037-4,6/26/25,MALE,Kcnt1-YH,508x505 | 307 | 311,2,1,X0-145 Species MOUSE # Animals 2 Census 07/08/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 508x505 307 311 Created 2/17/2026 1:43pm • CC-22037-4 • External ID:,CENSUS,X0-145,07/08/25,,MALE,311,,2,2,YES,2/17/2026 1:43pm,,
313,CC-24369-1,06/26/25,FEMALE,KCN1-YH het,313 (F) | Split breeding pair 2,7,1,X0-145 Species MOUSE # Animals 1 Census 11/04/25 Sex FEMALE P.I. Barry J. Strain KCN1-YH het Code DOB 06/26/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 313 (F) Split breeding pair 2 Created 11/4/2025 2:22pm SPLIT-5194 • CC-24369-1 • External ID:,CENSUS,X0-145,11/04/25,,FEMALE,313,,1,1,YES,11/4/2025 2:22pm,SPLIT-5194,
317,CC-22535-3,7/20/2025,MALE,Kcnt1-YH,508x505 | 317 | 319,2,2,X0-145 Species MOUSE # Animals 2 Census 08/08/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 7/20/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Jeremy Barry +19178175852 Notes 508x505 317 319 Created 5/4/2026 8:55am • CC-22535-3 • External ID:,CENSUS,X0-145,08/08/25,,MALE,317,,2,2,YES,5/4/2026 8:55am,,
319,CC-22535-3,7/20/2025,MALE,Kcnt1-YH,508x505 | 317 | 319,2,2,X0-145 Species MOUSE # Animals 2 Census 08/08/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 7/20/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Jeremy Barry +19178175852 Notes 508x505 317 319 Created 5/4/2026 8:55am • CC-22535-3 • External ID:,CENSUS,X0-145,08/08/25,,MALE,319,,2,2,YES,5/4/2026 8:55am,,
320,CC-25084-2,07/20/25,FEMALE,Kcnt1-YH(hom),541(M)x320(F),8,1,X0-145 Species MOUSE # Animals 2 P.I. Barry J. M DOB 10/01/25 F DOB 07/20/25 Breeding Date 03/24/26 Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) Kcnt1-YH(het);PV-Cre(het) F Strain (ID) Kcnt1-YH(hom) Notes 541(M)x320(F) Created 3/24/2026 3:02pm • CC-25084-2 • External ID:,BREEDER,X0-145,,03/24/26,FEMALE,320,,2,2,YES,3/24/2026 3:02pm,,
321,CC-22536-2,7/20/2025,FEMALE,Kcnt1-YH,508X505 | 321 - no et | 322 - no et,2,3,X0-145 Species MOUSE # Animals 2 Census 08/08/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH Code DOB 7/20/2025 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 508X505 321 - no et 322 - no et Created 12/12/2025 1:58pm • CC-22536-2 • External ID:,CENSUS,X0-145,08/08/25,,FEMALE,321,,2,2,YES,12/12/2025 1:58pm,,
