Extracted Sorting ID,Cage Card,Sex,DOB
0,CC-25084-2,,10/1/2025
0,CC-25086-2,,9/14/2025
0,CC-26360-1,,11/27/2025
0,CC-27096-1,,10/25/2025
302,CC-24368-1,FEMALE,5/29/2025
304,CC-21437-4,MALE,5/29/2025
305,CC-21437-4,MALE,5/29/2025
307,CC-22037-4,MALE,6/26/2025
308,CC-27042-1,MALE,6/26/2025
311,CC-22037-4,MALE,6/26/2025
313,CC-24369-1,FEMALE,6/26/2025
315,CC-27194-1,FEMALE,6/26/2025
317,CC-22535-3,MALE,7/20/2025
319,CC-22535-3,MALE,7/20/2025
321,CC-22536-2,FEMALE,7/20/2025
322,CC-22536-2,FEMALE,7/20/2025
325,CC-22538-2,FEMALE,7/19/2025
326,CC-27298-1,FEMALE,7/19/2025
327,CC-22538-2,FEMALE,7/19/2025
328,CC-22629-3,MALE,7/1/2025
329,CC-22630-4,MALE,7/1/2025
504,CC-26063-1,FEMALE,4/21/2025
506,CC-20484-6,FEMALE,4/21/2025
509,CC-20483-5,MALE,4/21/2025
510,CC-20483-5,MALE,4/21/2025
512,CC-20483-5,MALE,4/21/2025
514,CC-22941-4,FEMALE,8/9/2025
516,CC-22941-4,FEMALE,8/9/2025
517,CC-22941-4,FEMALE,8/9/2025
518,CC-22942-1,MALE,8/9/2025
519,CC-22942-1,MALE,8/9/2025
520,CC-27208-1,FEMALE,9/4/2025
521,CC-27510-1,FEMALE,9/4/2025
522,CC-23545-3,FEMALE,9/4/2025
523,CC-23546-3,FEMALE,9/4/2025
524,CC-27620-1,FEMALE,9/4/2025
525,CC-26938-1,FEMALE,9/4/2025
529,CC-27463-1,F,9/14/2025
531,CC-23781-7,F,9/14/2025
533,CC-27511-1,M,9/14/2025
534,CC-23782-7,M,9/14/2025
535,CC-23782-7,M,9/14/2025
536,CC-24052-3,FEMALE,10/1/2025
537,CC-24052-3,FEMALE,10/1/2025
538,CC-24052-3,FEMALE,10/1/2025
539,CC-24052-3,FEMALE,10/1/2025
540,CC-24052-3,FEMALE,10/1/2025
542,CC-24051-4,MALE,10/1/2025
543,CC-24051-4,MALE,10/1/2025
544,CC-24051-4,MALE,10/1/2025
545,CC-24051-4,MALE,10/1/2025
547,CC-24576-3,FEMALE,10/25/2025
548,CC-24576-3,FEMALE,10/25/2025
549,CC-24576-3,FEMALE,10/25/2025
551,CC-24576-3,FEMALE,10/25/2025
556,CC-24575-6,MALE,10/25/2025
558,CC-25203-4,FEMALE,11/27/2025
559,CC-25203-4,FEMALE,11/27/2025
560,CC-25204-2,MALE,11/27/2025
561,CC-25204-2,MALE,11/27/2025
562,CC-25204-2,MALE,11/27/2025
566,CC-25205-3,MALE,11/27/2025
567,CC-25205-3,MALE,11/27/2025
571,CC-24575-6,MALE,10/25/2025
572,CC-24575-6,MALE,10/25/2025
573,CC-24575-6,MALE,10/25/2025
576,CC-27511-1,M,9/14/2025
577,CC-23782-7,M,9/14/2025
578,CC-23782-7,M,9/14/2025
579,CC-27241-1,FEMALE,3/14/2026
580,CC-27241-1,FEMALE,3/14/2026
581,CC-27240-1,MALE,3/14/2026
583,CC-27240-1,MALE,3/14/2026
584,CC-27240-1,MALE,3/14/2026
586,CC-27240-1,MALE,3/14/2026
587,CC-27240-1,MALE,3/14/2026
588,CC-27733-2,FEMALE,4/6/2026
590,CC-27733-2,FEMALE,4/6/2026
591,CC-27733-2,FEMALE,4/6/2026
592,CC-27733-2,FEMALE,4/6/2026
593,CC-27733-2,FEMALE,4/6/2026
594,CC-27734-2,MALE,4/6/2026
595,CC-27734-2,MALE,4/6/2026
596,CC-27734-2,MALE,4/6/2026
597,CC-28080-2,FEMALE,4/18/2026
598,CC-28080-2,FEMALE,4/18/2026
599,CC-28080-2,FEMALE,4/18/2026
1600,CC-28241-1,FEMALE,4/18/2026
1601,CC-28241-1,FEMALE,4/18/2026
1602,CC-28079-2,MALE,4/18/2026
1603,CC-28241-1,FEMALE,4/18/2026
1604,CC-28079-2,MALE,4/18/2026
1605,CC-28079-2,MALE,4/18/2026
1606,CC-28079-2,MALE,4/18/2026
