Extracted Sorting ID,Cage Card,DOB,Sex
0,CC-25084-2,10/1/2025,
0,CC-25086-2,9/14/2025,
0,CC-26360-1,11/27/2025,
0,CC-27096-1,10/25/2025,
302,CC-24368-1,5/29/2025,FEMALE
304,CC-21437-4,5/29/2025,MALE
305,CC-21437-4,5/29/2025,MALE
307,CC-22037-4,6/26/2025,MALE
308,CC-27042-1,6/26/2025,MALE
311,CC-22037-4,6/26/2025,MALE
313,CC-24369-1,6/26/2025,FEMALE
315,CC-27194-1,6/26/2025,FEMALE
317,CC-22535-3,7/20/2025,MALE
319,CC-22535-3,7/20/2025,MALE
321,CC-22536-2,7/20/2025,FEMALE
322,CC-22536-2,7/20/2025,FEMALE
325,CC-22538-2,7/19/2025,FEMALE
326,CC-27298-1,7/19/2025,FEMALE
327,CC-22538-2,7/19/2025,FEMALE
328,CC-22629-3,7/1/2025,MALE
329,CC-22630-4,7/1/2025,MALE
504,CC-26063-1,4/21/2025,FEMALE
506,CC-20484-6,4/21/2025,FEMALE
509,CC-20483-5,4/21/2025,MALE
510,CC-20483-5,4/21/2025,MALE
512,CC-20483-5,4/21/2025,MALE
514,CC-22941-4,8/9/2025,FEMALE
516,CC-22941-4,8/9/2025,FEMALE
517,CC-22941-4,8/9/2025,FEMALE
518,CC-22942-1,8/9/2025,MALE
519,CC-22942-1,8/9/2025,MALE
520,CC-27208-1,9/4/2025,FEMALE
521,CC-27510-1,9/4/2025,FEMALE
522,CC-23545-3,9/4/2025,FEMALE
523,CC-23546-3,9/4/2025,FEMALE
524,CC-27620-1,9/4/2025,FEMALE
525,CC-26938-1,9/4/2025,FEMALE
529,CC-27463-1,9/14/2025,F
531,CC-23781-7,9/14/2025,F
533,CC-27511-1,9/14/2025,M
534,CC-23782-7,9/14/2025,M
535,CC-23782-7,9/14/2025,M
536,CC-24052-3,10/1/2025,FEMALE
537,CC-24052-3,10/1/2025,FEMALE
538,CC-24052-3,10/1/2025,FEMALE
539,CC-24052-3,10/1/2025,FEMALE
540,CC-24052-3,10/1/2025,FEMALE
542,CC-24051-4,10/1/2025,MALE
543,CC-24051-4,10/1/2025,MALE
544,CC-24051-4,10/1/2025,MALE
545,CC-24051-4,10/1/2025,MALE
547,CC-24576-3,10/25/2025,FEMALE
548,CC-24576-3,10/25/2025,FEMALE
549,CC-24576-3,10/25/2025,FEMALE
551,CC-24576-3,10/25/2025,FEMALE
556,CC-24575-6,10/25/2025,MALE
558,CC-25203-4,11/27/2025,FEMALE
559,CC-25203-4,11/27/2025,FEMALE
560,CC-25204-2,11/27/2025,MALE
561,CC-25204-2,11/27/2025,MALE
562,CC-25204-2,11/27/2025,MALE
566,CC-25205-3,11/27/2025,MALE
567,CC-25205-3,11/27/2025,MALE
571,CC-24575-6,10/25/2025,MALE
572,CC-24575-6,10/25/2025,MALE
573,CC-24575-6,10/25/2025,MALE
576,CC-27511-1,9/14/2025,M
577,CC-23782-7,9/14/2025,M
578,CC-23782-7,9/14/2025,M
579,CC-27241-1,3/14/2026,FEMALE
580,CC-27241-1,3/14/2026,FEMALE
581,CC-27240-1,3/14/2026,MALE
583,CC-27240-1,3/14/2026,MALE
584,CC-27240-1,3/14/2026,MALE
586,CC-27240-1,3/14/2026,MALE
587,CC-27240-1,3/14/2026,MALE
588,CC-27733-2,4/6/2026,FEMALE
590,CC-27733-2,4/6/2026,FEMALE
591,CC-27733-2,4/6/2026,FEMALE
592,CC-27733-2,4/6/2026,FEMALE
593,CC-27733-2,4/6/2026,FEMALE
594,CC-27734-2,4/6/2026,MALE
595,CC-27734-2,4/6/2026,MALE
596,CC-27734-2,4/6/2026,MALE
597,CC-28080-2,4/18/2026,FEMALE
598,CC-28080-2,4/18/2026,FEMALE
599,CC-28080-2,4/18/2026,FEMALE
1600,CC-28241-1,4/18/2026,FEMALE
1601,CC-28241-1,4/18/2026,FEMALE
1602,CC-28079-2,4/18/2026,MALE
1603,CC-28241-1,4/18/2026,FEMALE
1604,CC-28079-2,4/18/2026,MALE
1605,CC-28079-2,4/18/2026,MALE
1606,CC-28079-2,4/18/2026,MALE
