Extracted Sorting ID 052826,Cage Card 052826,DOB 052826,Sex 052826,Strain,Notes,Source Page,Position on Page,Raw Card Text
0,CC-25084-2,10/1/2025,,(ID) Kcnt1-YH(het);PV-Cre(het),541(M)x320(F),8,1,X0-145 Species MOUSE # Animals 2 P.I. Barry J. M DOB 10/01/25 F DOB 07/20/25 Breeding Date 03/24/26 Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) Kcnt1-YH(het);PV-Cre(het) F Strain (ID) Kcnt1-YH(hom) Notes 541(M)x320(F) Created 3/24/2026 3:02pm • CC-25084-2 • External ID:
0,CC-25086-2,9/14/2025,,(ID) Kcnt1-YH(het);SST-Cre(het),532(M)x515(F),8,2,X0-145 Species MOUSE # Animals 2 P.I. Barry J. M DOB 09/14/25 F DOB 08/09/25 Breeding Date 03/24/26 Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) Kcnt1-YH(het);SST-Cre(het) F Strain (ID) Kcnt1-YH(hom) Notes 532(M)x515(F) Created 3/24/2026 3:02pm • CC-25086-2 • External ID:
0,CC-27096-1,10/25/2025,,(ID) Kcnt1-YH; SST-cre (het),575 (M) x 546 (F),10,3,X0-145 Species MOUSE # Animals 2 P.I. Barry J. M DOB 10/25/25 F DOB 10/25/25 Breeding Date 03/24/26 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 M Strain (ID) Kcnt1-YH; SST-cre (het) F Strain (ID) Kcnt1-YH; SST-cre (het) Notes 575 (M) x 546 (F) Created 3/24/2026 3:40pm SPLIT-6268 • CC-27096-1 • External ID:
302,CC-24368-1,5/29/2025,FEMALE,KCN1-YH het,302 (F) | Split breeding pair 1,6,3,X0-145 Species MOUSE # Animals 1 Census 11/04/25 Sex FEMALE P.I. Barry J. Strain KCN1-YH het Code DOB 05/29/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 302 (F) Split breeding pair 1 Created 11/4/2025 2:20pm SPLIT-5193 • CC-24368-1 • External ID:
304,CC-21437-4,5/29/2025,MALE,Kcnt1-YH,304 | 305,1,3,X0-145 Species MOUSE # Animals 2 Census 06/20/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 5/29/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 304 305 Created 2/25/2026 3:47pm • CC-21437-4 • External ID:
305,CC-21437-4,5/29/2025,MALE,Kcnt1-YH,304 | 305,1,3,X0-145 Species MOUSE # Animals 2 Census 06/20/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 5/29/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 304 305 Created 2/25/2026 3:47pm • CC-21437-4 • External ID:
307,CC-22037-4,6/26/2025,MALE,Kcnt1-YH,508x505 | 307 | 311,2,1,X0-145 Species MOUSE # Animals 2 Census 07/08/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 508x505 307 311 Created 2/17/2026 1:43pm • CC-22037-4 • External ID:
308,CC-27042-1,6/26/2025,MALE,Kcnt1-YH,508x505 | 308,10,2,X0-145 Species MOUSE # Animals 1 Census 03/23/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 508x505 308 Created 3/23/2026 10:53am SPLIT-6240 • CC-27042-1 • External ID:
311,CC-22037-4,6/26/2025,MALE,Kcnt1-YH,508x505 | 307 | 311,2,1,X0-145 Species MOUSE # Animals 2 Census 07/08/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 508x505 307 311 Created 2/17/2026 1:43pm • CC-22037-4 • External ID:
313,CC-24369-1,6/26/2025,FEMALE,KCN1-YH het,313 (F) | Split breeding pair 2,7,1,X0-145 Species MOUSE # Animals 1 Census 11/04/25 Sex FEMALE P.I. Barry J. Strain KCN1-YH het Code DOB 06/26/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 313 (F) Split breeding pair 2 Created 11/4/2025 2:22pm SPLIT-5194 • CC-24369-1 • External ID:
