Extracted Sorting ID 081726,Cage Card 081726,DOB 081726,Sex 081726,Strain,Notes,Source Page,Position on Page,Raw Card Text,Card Type,External ID,Census Date,Breeding Date,Sex Normalized,Mouse Tag,Previous Tag,# Animals,Mice In Card,ID Count Matches # Animals,Created,Ref,Parse Warnings
520,CC-27208-2,9/4/25,FEMALE,Kcnt1-YH;PV-cre,328x313 | 520,4,2,X6-041 Species MOUSE # Animals 1 Census 04/02/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 520 Created 7/13/2026 3:57pm SPLIT-6317 • CC-27208-2 • External ID:,CENSUS,X6-041,04/02/26,,FEMALE,520,,1,1,YES,7/13/2026 3:57pm,SPLIT-6317,
522,CC-23545-4,9/4/25,FEMALE,Kcnt1-YH;PV-cre,328x313 | 522,1,1,X6-041 Species MOUSE # Animals 1 Census 09/25/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 522 Created 7/13/2026 3:57pm • CC-23545-4 • External ID:,CENSUS,X6-041,09/25/25,,FEMALE,522,,1,1,YES,7/13/2026 3:57pm,,
523,CC-23546-4,9/4/25,FEMALE,Kcnt1-YH;PV-cre,328x313 | 523,1,2,X6-041 Species MOUSE # Animals 1 Census 09/25/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 523 Created 7/13/2026 3:57pm • CC-23546-4 • External ID:,CENSUS,X6-041,09/25/25,,FEMALE,523,,1,1,YES,7/13/2026 3:57pm,,
524,CC-27620-2,9/4/25,FEMALE,Kcnt1-YH;PV-cre,328x313 | 524,5,2,X6-041 Species MOUSE # Animals 1 Census 04/21/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-cre Code DOB 9/4/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 524 Created 7/13/2026 3:57pm SPLIT-6515 • CC-27620-2 • External ID:,CENSUS,X6-041,04/21/26,,FEMALE,524,,1,1,YES,7/13/2026 3:57pm,SPLIT-6515,
537,CC-24052-6,10/1/25,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 537 | 538 | 540,2,2,X6-041 Species MOUSE # Animals 3 Census 10/22/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 537 538 540 Created 7/14/2026 12:12pm W-4813 • CC-24052-6 • External ID:,CENSUS,X6-041,10/22/25,,FEMALE,537,,3,3,YES,7/14/2026 12:12pm,W-4813,
538,CC-24052-6,10/1/25,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 537 | 538 | 540,2,2,X6-041 Species MOUSE # Animals 3 Census 10/22/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 537 538 540 Created 7/14/2026 12:12pm W-4813 • CC-24052-6 • External ID:,CENSUS,X6-041,10/22/25,,FEMALE,538,,3,3,YES,7/14/2026 12:12pm,W-4813,
539,CC-28939-2,10/1/25,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 539,10,3,X6-041 Species MOUSE # Animals 1 Census 06/17/26 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 539 Created 7/13/2026 3:57pm SPLIT-6985 • CC-28939-2 • External ID:,CENSUS,X6-041,06/17/26,,FEMALE,539,,1,1,YES,7/13/2026 3:57pm,SPLIT-6985,
540,CC-24052-6,10/1/25,FEMALE,Kcnt1-YH;PV-Cre,328x313 | 537 | 538 | 540,2,2,X6-041 Species MOUSE # Animals 3 Census 10/22/25 Sex FEMALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x313 537 538 540 Created 7/14/2026 12:12pm W-4813 • CC-24052-6 • External ID:,CENSUS,X6-041,10/22/25,,FEMALE,540,,3,3,YES,7/14/2026 12:12pm,W-4813,
542,CC-24051-5,10/1/25,MALE,Kcnt1-YH;PV-Cre,328x 313 | 542 | 543 - no et | 544 - no et | 545 - no et,2,1,X6-041 Species MOUSE # Animals 4 Census 10/22/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x 313 542 543 - no et 544 - no et 545 - no et Created 7/13/2026 3:57pm W-4813 • CC-24051-5 • External ID:,CENSUS,X6-041,10/22/25,,MALE,542,,4,4,YES,7/13/2026 3:57pm,W-4813,
543,CC-24051-5,10/1/25,MALE,Kcnt1-YH;PV-Cre,328x 313 | 542 | 543 - no et | 544 - no et | 545 - no et,2,1,X6-041 Species MOUSE # Animals 4 Census 10/22/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH;PV-Cre Code DOB 10/1/25 Emergency Contact(s) Rain Younger +19716788621 Source In House Notes 328x 313 542 543 - no et 544 - no et 545 - no et Created 7/13/2026 3:57pm W-4813 • CC-24051-5 • External ID:,CENSUS,X6-041,10/22/25,,MALE,543,,4,4,YES,7/13/2026 3:57pm,W-4813,
