Extracted Sorting ID,Cage Card,Sex,Strain,DOB,Notes,Source Page,Position on Page,Raw Card Text
0,CC-13964-3,MALE,Pten flx/flx; Raptor flx/flx (157776),2024-04-21,"5, 6, 7, 8",1,2,"X0-145 Species MOUSE # Animals 1 Census 07/17/24 Sex MALE P.I. Barry J. Strain Pten flx/flx; Raptor flx/flx (157776) Code DOB 2024-04-21 Emergency Contact(s) Dylan Marchand +18024956431 Source Dartmouth Jeremy Barry +19178175852 Notes 5, 6, 7, 8 Created 12/13/2024 2:50pm IMP-208 • CC-13964-3 • External ID:"
0,CC-25084-2,,(ID) Kcnt1-YH(het);PV-Cre(het),10/01/25,541(M)x320(F),10,1,X0-145 Species MOUSE # Animals 2 P.I. Barry J. M DOB 10/01/25 F DOB 07/20/25 Breeding Date 03/24/26 Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) Kcnt1-YH(het);PV-Cre(het) F Strain (ID) Kcnt1-YH(hom) Notes 541(M)x320(F) Created 3/24/2026 3:02pm • CC-25084-2 • External ID:
0,CC-25086-2,,(ID) Kcnt1-YH(het);SST-Cre(het),09/14/25,532(M)x515(F),10,2,X0-145 Species MOUSE # Animals 2 P.I. Barry J. M DOB 09/14/25 F DOB 08/09/25 Breeding Date 03/24/26 Emergency Contact(s) Rain Younger +19716788621 Source In House M Strain (ID) Kcnt1-YH(het);SST-Cre(het) F Strain (ID) Kcnt1-YH(hom) Notes 532(M)x515(F) Created 3/24/2026 3:02pm • CC-25086-2 • External ID:
0,CC-26360-1,,(ID) Kcnt1-YH;PV-Cre,11/27/25,565 (M) x 557 (F),12,2,X0-145 Species MOUSE # Animals 2 P.I. Barry J. M DOB 11/27/25 F DOB 11/27/25 Breeding Date 02/18/26 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 M Strain (ID) Kcnt1-YH;PV-Cre F Strain (ID) Kcnt1-YH;PV-Cre Notes 565 (M) x 557 (F) Created 2/18/2026 4:40pm SPLIT-5973 • CC-26360-1 • External ID:
0,CC-27096-1,,(ID) Kcnt1-YH; SST-cre (het),10/25/25,575 (M) x 546 (F),14,1,X0-145 Species MOUSE # Animals 2 P.I. Barry J. M DOB 10/25/25 F DOB 10/25/25 Breeding Date 03/24/26 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 M Strain (ID) Kcnt1-YH; SST-cre (het) F Strain (ID) Kcnt1-YH; SST-cre (het) Notes 575 (M) x 546 (F) Created 3/24/2026 3:40pm SPLIT-6268 • CC-27096-1 • External ID:
302,CC-24368-1,FEMALE,KCN1-YH het,05/29/25,302 (F) | Split breeding pair 1,8,3,X0-145 Species MOUSE # Animals 1 Census 11/04/25 Sex FEMALE P.I. Barry J. Strain KCN1-YH het Code DOB 05/29/25 Emergency Contact(s) Rain Younger: (971) 678-8621 Source In House Jeremy Barry: (917) 817-5852 Notes 302 (F) Split breeding pair 1 Created 11/4/2025 2:20pm SPLIT-5193 • CC-24368-1 • External ID:
304,CC-21437-4,MALE,Kcnt1-YH,5/29/25,304 | 305,3,2,X0-145 Species MOUSE # Animals 2 Census 06/20/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 5/29/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 304 305 Created 2/25/2026 3:47pm • CC-21437-4 • External ID:
305,CC-21437-4,MALE,Kcnt1-YH,5/29/25,304 | 305,3,2,X0-145 Species MOUSE # Animals 2 Census 06/20/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 5/29/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 304 305 Created 2/25/2026 3:47pm • CC-21437-4 • External ID:
306,CC-26315-1,MALE,Kcnt1-YH,6/26/25,508x505 | 306,12,1,X0-145 Species MOUSE # Animals 1 Census 02/17/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 508x505 306 Created 2/17/2026 1:43pm SPLIT-5959 • CC-26315-1 • External ID:
307,CC-22037-4,MALE,Kcnt1-YH,6/26/25,508x505 | 307 | 311,3,3,X0-145 Species MOUSE # Animals 2 Census 07/08/25 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 508x505 307 311 Created 2/17/2026 1:43pm • CC-22037-4 • External ID:
308,CC-27042-1,MALE,Kcnt1-YH,6/26/25,508x505 | 308,13,3,X0-145 Species MOUSE # Animals 1 Census 03/23/26 Sex MALE P.I. Barry J. Strain Kcnt1-YH Code DOB 6/26/25 Emergency Contact(s) Rain Younger (971) 678-8621 Source In House Jeremy Barry +19178175852 Notes 508x505 308 Created 3/23/2026 10:53am SPLIT-6240 • CC-27042-1 • External ID:
