Row,Region
1,CA1 SP
2,CA1 SP
3,CA1 SP
4,CA1 SP
5,CA1
6,CA1
7,CA1
8,CA1
9,CA1
10,CA1
11,CA1
12,CA1
13,CA1
14,CA1 SLM
15,CA1 SLM
16,CA1 SLM
17,CA1 SLM
18,CA1 SLM
19,CA1 SLM
20,DG OML1
21,DG OML1
22,DG OML1
23,DG OML1
24,DG OML1
25,DG MML1
26,DG MML1
27,DG MML1
28,DG MML1
29,DG MML1
30,DG MML1
31,DG GCL1
32,DG GCL1
33,DG GCL1
34,DG GCL1
35,DG GCL1
36,DG GCL1
37,HIL
38,HIL
39,HIL
40,HIL
41,HIL
42,HIL
43,HIL
44,HIL
45,HIL
46,HIL
47,HIL
48,HIL
49,HIL
50,HIL
51,DG GCL2
52,DG GCL2
53,DG GCL2
54,DG GCL2
55,DG GCL2
56,DG GCL2
57,DG GCL2
58,DG GCL2
59,DG MML2
60,DG MML2
61,DG MML2
62,DG MML2
63,DG MML2
64,DG MML2
