Row,Region
1,CA1
2,CA1
3,CA1 SP
4,CA1 SP
5,CA1 SP
6,CA1 SP
7,CA1 SP
8,CA1
9,CA1
10,CA1
11,CA1
12,CA1
13,CA1
14,CA1
15,CA1
16,CA1
17,CA1
18,CA1 SLM
19,CA1 SLM
20,CA1 SLM
21,CA1 SLM
22,CA1 SLM
23,DG OML1
24,DG OML1
25,DG OML1
26,DG OML1
27,DG MML1
28,DG MML1
29,DG MML1
30,DG MML1
31,DG MML1
32,DG MML1
33,DG GCL1
34,DG GCL1
35,DG GCL1
36,DG GCL1
37,HIL
38,HIL
39,HIL
40,HIL
41,HIL
42,HIL
43,HIL
44,HIL
45,HIL
46,HIL
47,HIL
48,HIL
49,HIL
50,HIL
51,HIL
52,HIL
53,DG GCL2
54,DG GCL2
55,DG GCL2
56,DG GCL2
57,DG GCL2
58,DG MML2
59,DG MML2
60,DG MML2
61,DG MML2
62,DG MML2
63,DG MML2
64,DG OML2
