project,mouse,session,session_label,type,name,version,start_s,label,label_name,decided_by,version_at,version_note,added_by,entry_id
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,4.715,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,14.411,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,15.243,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,19.9,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,21.976,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,23.344,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,31.081,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,41.155,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,41.46,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,41.709,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,43.062,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,47.66,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,53.11,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,53.349,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,64.865,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,65.042,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
