n,stamp_s,refined_s,offset_ms,idx,peak_uv_mm2,pc1,pc2,k_type,db_type,type,by
1,229.074,229.077175,3.1749999999988177,229077,15953.713553151776,-0.26458841372896247,0.19671285565411892,2,1,2,Rain Younger
2,242.251,242.254636,3.6360000000001946,242255,12959.124713897705,0.39555275172304594,0.06101288519309648,1,2,1,Rain Younger
3,315.275,315.271874,-3.1259999999520005,315272,21038.042256509103,-1.0608579956148545,0.09221951333633856,2,0,2,Rain Younger
4,346.674,346.674461,0.4610000000297987,346674,12497.218867917214,0.3009718332580193,-0.5069391291196343,1,0,1,Rain Younger
5,407.93,407.92977,-0.22999999998774,407930,13013.284943119172,0.1428151858294576,0.6602731980965262,1,0,1,Rain Younger
6,616.698965,616.7013529999999,2.387999999882595,616701,12637.571403318836,0.34661237197129346,0.2700539087031971,1,2,1,Rain Younger
7,669.277965,669.280665,2.7000000000043656,669281,12789.864468974452,-0.06003861170089133,-0.4121048169676726,2,0,2,Rain Younger
8,719.685965,719.681578,-4.3870000000652,719682,13498.931110997353,0.6734899065334302,-0.1340907883005078,1,2,1,Rain Younger
9,767.026965,767.027492,0.527000000033695,767027,14223.167574482579,0.5612584157577155,0.2622198454157424,1,0,1,Rain Younger
10,811.964965,811.962007,-2.958000000035099,811962,21752.596312922815,-0.1271638736554209,0.2432286238483413,1,1,1,Rain Younger
11,847.091965,847.0921930000001,0.22800000010647636,847092,13163.901640476719,0.049482926794543816,0.7510216135323056,1,0,1,Rain Younger
12,849.407965,849.409259,1.2940000000298824,849409,12944.913461500599,0.5001137966747522,-0.6448198985339625,1,0,1,Rain Younger
13,853.908965,853.908857,-0.10799999995469989,853909,13206.199120306199,0.7736865924242127,0.8103767977897873,1,0,1,Rain Younger
14,896.350965,896.35364,2.6750000000674845,896354,13742.503999033283,0.5860146699932004,0.3855942732361794,1,0,1,Rain Younger
15,922.136965,922.135297,-1.6679999999951178,922135,12869.946086268272,0.5597045067452443,0.8758681335282887,1,0,1,Rain Younger
16,1006.836965,1006.8391290000001,2.1640000001070803,1006839,12830.057873172145,0.43363793597064487,-0.8978879273666343,1,0,1,Rain Younger
17,1038.273965,1038.269917,-4.048000000011598,1038270,27735.0600339828,-0.9611656404250174,-0.03322383834462996,2,0,2,Rain Younger
18,1061.508965,1061.5127069999999,3.741999999874679,1061513,12207.780781099873,0.8743096601228951,-0.27580754818138203,1,0,1,Rain Younger
