n,stamp_s,refined_s,offset_ms,idx,peak_uv_mm2,pc1,pc2,k_type,db_type,type,by
1,229.074,229.067175,-6.825000000020509,229067,9739.200064013081,0.9683284804642074,-0.2996908523959075,2,2,2,Rain Younger
2,242.251,242.25063600000001,-0.36399999999048305,242251,3010.656733728224,-0.4522504800347405,0.4345451926316741,1,1,1,Rain Younger
3,315.275,315.271874,-3.1259999999520005,315272,13859.277702085434,1.1389709494809426,-0.1978193008697337,2,2,2,Rain Younger
4,346.674,346.674461,0.4610000000297987,346674,3441.1258256050846,-0.07853551217416027,0.9196848313898097,1,0,1,Rain Younger
5,407.93,407.92977,-0.22999999998774,407930,2958.195464349562,-0.7935740691985701,-0.7042713411531478,1,0,1,Rain Younger
6,616.698965,616.6973529999999,-1.6120000001365042,616697,3138.613197249751,-0.4737116724742978,0.22912430817105356,1,1,1,Rain Younger
7,669.277965,669.276665,-1.3000000000147338,669277,3702.475988718771,-0.0791106541101493,0.898658252066296,1,0,1,Rain Younger
8,719.685965,719.6875779999999,1.6129999999066058,719688,4562.939074300951,-0.6709481628907148,-0.03375821755949737,1,1,1,Rain Younger
9,767.026965,767.024492,-2.4730000000090513,767024,5770.289937665386,-1.0368701366786244,-0.24804687873785808,1,0,1,Rain Younger
10,811.964965,811.961007,-3.9580000000114524,811961,15935.151108526414,0.7414724514832135,-0.11878174327474156,2,0,2,Rain Younger
11,847.091965,847.0921930000001,0.22800000010647636,847092,4035.227444310342,-0.7354692520467048,0.030938242683676485,1,1,1,Rain Younger
12,849.407965,849.408259,0.2940000000535292,849408,3642.3667379117783,0.04915359572881577,-0.1169680810427504,1,0,1,Rain Younger
13,853.908965,853.909857,0.8920000000216532,853910,3760.220849875481,-0.7644060769905643,-0.9880527822546545,1,0,1,Rain Younger
14,896.350965,896.35064,-0.32499999997526174,896351,4783.2228353561895,-0.4802968349949532,0.11854247434049901,1,1,1,Rain Younger
15,922.136965,922.0522970000001,-84.6679999999651,922052,10763.401614158383,0.38203095745842747,-1.0072316592803359,2,0,2,Rain Younger
16,1006.836965,1006.837129,0.16400000004068715,1006837,3737.852489609872,0.02437847049654302,0.25564494537146915,1,0,1,Rain Younger
17,1038.273965,1038.268917,-5.047999999987951,1038269,19372.801738000686,1.2161009941900287,-0.09504929756411924,2,2,2,Rain Younger
18,1061.508965,1061.507707,-1.2580000000070868,1061508,3480.211063200428,-0.5026295655625577,-0.011686715515280882,1,1,1,Rain Younger
19,1093.486965,1093.484561,-2.4040000000695727,1093485,20636.77029517389,0.9502863322045823,-0.32502907485113347,2,2,2,Rain Younger
20,1120.040965,1120.040284,-0.6809999999859428,1120040,5298.468927291132,-0.625313278064392,0.3401709946178426,1,1,1,Rain Younger
21,1153.614965,1153.61547,0.5049999999755528,1153615,3372.677681676803,-0.1764423032739118,0.6750265406851984,1,1,1,Rain Younger
22,1153.880965,1153.88147,0.5049999999755528,1153881,4117.081125567036,0.0293776962240603,0.40233988519044406,1,0,1,Rain Younger
23,1159.802965,1159.799601,-3.364000000146916,1159800,20611.981039477934,1.2021155012420381,0.42486136609017977,2,0,2,Rain Younger
24,1190.059965,1190.060789,0.8240000001933367,1190061,3678.343685396256,-0.7148077051080995,0.045004906157478375,1,1,1,Rain Younger
25,1213.745965,1213.7463129999999,0.3479999998035055,1213746,3590.7424872613724,-0.6011640274676803,0.4598133276260792,1,1,1,Rain Younger
26,1227.979965,1227.9909069999999,10.94199999988632,1227991,5227.504507010983,-0.36804216212261015,0.6832333682855931,1,1,1,Rain Younger
27,1263.951965,1263.951426,-0.538999999889711,1263951,5127.300956099264,-0.6905749536037902,0.5505358848894684,1,1,1,Rain Younger
28,1270.120965,1270.15249,31.524999999874126,1270152,6280.979050482473,0.7630575821301971,0.32223230722558927,2,0,2,Rain Younger
29,1304.679965,1304.679476,-0.4890000000159489,1304679,3693.7329032036564,-0.9971076105358473,-0.20751896130534978,1,0,1,Rain Younger
30,1318.234965,1318.235404,0.4389999999148131,1318235,4534.338964985263,-0.26596592646106376,0.19931265890274386,1,0,1,Rain Younger
31,1349.983965,1349.9824580000002,-1.5069999997194827,1349982,22268.33952799151,1.1596981362776326,-0.11711882044839493,2,2,2,Rain Younger
32,1383.467965,1383.467245,-0.7200000000011642,1383467,3819.9999482247135,-0.8625180545526793,-0.9341493060573293,1,0,1,Rain Younger
33,1404.707965,1404.708169,0.20399999993969686,1404708,4964.990899393635,0.1914369438527482,-0.028209081873981006,1,0,1,Rain Younger
34,1410.063965,1410.064101,0.13599999988400668,1410064,4894.695902193746,-0.40974403123267245,-0.9802605229740998,1,0,1,Rain Younger
35,1452.824965,1452.824083,-0.8820000000469008,1452824,27060.397695049163,1.0585677820688222,-0.22899180915023915,2,2,2,Rain Younger
36,1484.148965,1484.148471,-0.49400000011701195,1484148,5830.445465933892,-0.7132769487672308,-0.1427443443800905,1,1,1,Rain Younger
37,1511.605965,1511.607727,1.7620000000988512,1511608,11675.50876654348,0.439118035929067,-0.3303624837789152,2,0,2,Rain Younger
38,1511.984965,1511.984193,-0.7720000000972504,1511984,4659.311778537689,-0.5517234572592501,0.5586083452734024,1,1,1,Rain Younger
39,1522.537965,1522.537389,-0.5759999999099819,1522537,6083.646697352009,-0.34546449982759225,0.6893746452486965,1,1,1,Rain Younger
40,1527.143965,1527.145387,1.422000000047774,1527145,3780.936278389346,-0.07497995052217023,-0.05338513085822577,1,0,1,Rain Younger
41,1529.245965,1529.245586,-0.3790000000662985,1529246,4869.009435499868,-0.5120466433267978,0.38714614902306554,1,1,1,Rain Younger
42,1532.053965,1532.0535849999999,-0.3800000001774606,1532054,4690.087450181284,-0.0032873572243953555,0.2383122748621368,1,0,1,Rain Younger
43,1539.194965,1539.194449,-0.5159999998340936,1539194,3437.8155622174663,-0.5521523834628616,-0.36491291483828464,1,0,1,Rain Younger
44,1558.672965,1558.6735079999999,0.542999999879612,1558674,5305.993372855648,-0.5548450896743808,-0.5543922702883127,1,0,1,Rain Younger
45,1566.167965,1566.167838,-0.12700000002041634,1566168,4305.246299620598,-0.08103836212662786,0.08862204640293546,1,0,1,Rain Younger
46,1568.154965,1568.1515709999999,-3.3940000000711734,1568152,14547.132801732709,1.0096286286240532,-0.3166114693618588,2,2,2,Rain Younger
47,1573.711965,1573.7083019999998,-3.6630000001878216,1573708,34749.1026736844,1.2140565350327819,-0.12576521766181287,2,2,2,Rain Younger
48,1591.690965,1591.6914940000001,0.5290000001423323,1591691,23891.53895445793,1.3122297340739844,-0.007667617105770926,2,2,2,Rain Younger
49,1605.413965,1605.414089,0.12400000014167745,1605414,25740.028525075606,1.1917775812426437,-0.11504549551443613,2,2,2,Rain Younger
50,1618.139965,1618.134817,-5.147999999962849,1618135,20674.850319277855,1.094237667307628,-0.1368202359754918,2,2,2,Rain Younger
51,1620.794965,1620.795149,0.183999999990192,1620795,3894.7472183473647,0.18597451577991395,0.9935794904670846,1,0,1,Rain Younger
52,1627.854965,1627.850747,-4.2180000000371365,1627851,13896.158316704536,0.9907081085959618,-0.32446539751962283,2,2,2,Rain Younger
53,1646.590965,1646.590939,-0.026000000161729986,1646591,5036.4932370339675,-0.38610838746696696,-0.22660264617103607,1,0,1,Rain Younger
54,1649.943965,1649.943004,-0.9609999999611318,1649943,4409.924610076412,-1.0170828281790274,-0.5273699305875206,1,0,1,Rain Younger
55,1653.093965,1653.093336,-0.6290000001172302,1653093,4690.786938513479,-0.42970402665861174,0.6054016461762365,1,1,1,Rain Younger
56,1653.879965,1653.881403,1.4380000000073778,1653881,4238.430295390467,-0.19174227760686421,0.43776944296196574,1,0,1,Rain Younger
57,1657.648965,1657.649135,0.16999999979816494,1657649,23181.16117292835,1.032245249010041,-0.2291775222771501,2,2,2,Rain Younger
58,1663.555965,1663.554199,-1.7660000000887521,1663554,24239.76994176065,1.141717988529844,-0.13335805854818983,2,2,2,Rain Younger
59,1665.460965,1665.459665,-1.299999999901047,1665460,4079.7071623648367,-0.12662716820181896,0.9172601094944306,1,0,1,Rain Younger
60,1665.720965,1665.721665,0.7000000000516593,1665722,4462.96738443067,-0.03961248378204442,0.9420400133043133,1,0,1,Rain Younger
61,1669.505965,1669.506463,0.49799999987953925,1669506,3703.243601029919,-0.3837866373799968,-0.9936298808896423,1,0,1,Rain Younger
62,1670.865965,1670.866729,0.7640000001174485,1670867,4522.273626265987,-0.5646658779685648,-0.39221997177544626,1,0,1,Rain Younger
63,1698.528965,1698.528785,-0.18000000000029104,1698529,3719.228741061303,-0.6218377345776098,-0.45025087328149355,1,0,1,Rain Younger
64,1705.694965,1705.698782,3.8170000000263826,1705699,3344.1894269604836,-0.5572053338365852,-0.7803677424175062,1,0,1,Rain Younger
