n,stamp_s,refined_s,offset_ms,idx,peak_uv_mm2,pc1,pc2,k_type,db_type,type,by
1,229.074,229.067175,-6.825000000020509,229067,9739.200064013081,-0.35970640338109156,-0.3668964804721592,2,2,2,Rain Younger
2,242.251,242.25063600000001,-0.36399999999048305,242251,3010.656733728224,0.007539447475480809,0.12599036534118654,1,1,1,Rain Younger
3,315.275,315.271874,-3.1259999999520005,315272,13859.277702085434,-1.061494922602254,0.030531089270099118,2,0,2,Rain Younger
4,346.674,346.674461,0.4610000000297987,346674,3441.1258256050846,0.27985229237140863,0.45073412541506963,1,0,1,Rain Younger
5,407.93,407.92977,-0.22999999998774,407930,2958.195464349562,0.11253392102516033,-0.5798826429113723,1,0,1,Rain Younger
6,616.698965,616.6973529999999,-1.6120000001365042,616697,3138.613197249751,0.011147854726860838,-0.5678381158049965,1,0,1,Rain Younger
7,669.277965,669.276665,-1.3000000000147338,669277,3702.475988718771,-0.465042563277121,0.7906662381562585,2,0,2,Rain Younger
8,719.685965,719.6875779999999,1.6129999999066058,719688,4562.939074300951,0.6698895821313223,-0.007498754260669215,1,0,1,Rain Younger
9,767.026965,767.024492,-2.4730000000090513,767024,5770.289937665386,0.7035855931619277,-0.4243669503542268,1,0,1,Rain Younger
10,811.964965,811.961007,-3.9580000000114524,811961,15935.151108526414,-0.20208998943015394,-0.280726091291084,2,2,2,Rain Younger
11,847.091965,847.0921930000001,0.22800000010647636,847092,4035.227444310342,-0.006203672260184684,-0.7060047946467084,1,0,1,Rain Younger
12,849.407965,849.408259,0.2940000000535292,849408,3642.3667379117783,0.5977476333484067,0.5435999526039843,1,0,1,Rain Younger
13,853.908965,853.909857,0.8920000000216532,853910,3760.220849875481,0.7869032421836474,-0.8860789651326714,1,0,1,Rain Younger
14,896.350965,896.35064,-0.32499999997526174,896351,4783.2228353561895,0.22135177792340288,-0.474786464616301,1,0,1,Rain Younger
15,922.136965,922.0522970000001,-84.6679999999651,922052,10763.401614158383,-0.36061082198449373,-0.8550795202250691,2,0,2,Rain Younger
16,1006.836965,1006.837129,0.16400000004068715,1006837,3737.852489609872,0.6172762149129173,0.8235809788016109,1,0,1,Rain Younger
17,1038.273965,1038.268917,-5.047999999987951,1038269,19372.801738000686,-0.8998320489625508,0.10118886459822098,2,0,2,Rain Younger
18,1061.508965,1061.507707,-1.2580000000070868,1061508,3480.211063200428,0.9027127220453345,0.26608172135299646,1,0,1,Rain Younger
19,1093.486965,1093.484561,-2.4040000000695727,1093485,20636.77029517389,-0.828886941378656,-0.06797643618509884,2,0,2,Rain Younger
20,1120.040965,1120.040284,-0.6809999999859428,1120040,5298.468927291132,0.49654816675199953,0.1776958953114277,1,0,1,Rain Younger
21,1153.614965,1153.61547,0.5049999999755528,1153615,3372.677681676803,0.6220938625261151,0.8023084484381198,1,0,1,Rain Younger
22,1153.880965,1153.88147,0.5049999999755528,1153881,4117.081125567036,0.5669882236559284,0.6406476316249844,1,0,1,Rain Younger
23,1159.802965,1159.799601,-3.364000000146916,1159800,20611.981039477934,-0.9935180807134021,0.31441749982272055,2,0,2,Rain Younger
24,1190.059965,1190.060789,0.8240000001933367,1190061,3678.343685396256,0.1178934917415959,-0.5577364220550767,1,0,1,Rain Younger
25,1213.745965,1213.7463129999999,0.3479999998035055,1213746,3590.7424872613724,0.0055086880334790774,0.09885590604625066,1,1,1,Rain Younger
26,1227.979965,1227.9909069999999,10.94199999988632,1227991,5227.504507010983,0.6065352699469108,1.2236591154018228,1,0,1,Rain Younger
27,1263.951965,1263.951426,-0.538999999889711,1263951,5127.300956099264,0.8993451349188037,0.9542602485171593,1,0,1,Rain Younger
28,1270.120965,1270.15249,31.524999999874126,1270152,6280.979050482473,-0.6796184785394017,0.19970390387314083,2,0,2,Rain Younger
29,1304.679965,1304.679476,-0.4890000000159489,1304679,3693.7329032036564,0.9982107930280021,0.0353365909259346,1,0,1,Rain Younger
30,1318.234965,1318.235404,0.4389999999148131,1318235,4534.338964985263,-0.3896495033617046,-0.33099993602490396,2,2,2,Rain Younger
31,1349.983965,1349.9824580000002,-1.5069999997194827,1349982,22268.33952799151,-0.8572608358029854,-0.03791457755727588,2,0,2,Rain Younger
32,1383.467965,1383.467245,-0.7200000000011642,1383467,3819.9999482247135,0.8075332669178048,-0.7191403784004236,1,0,1,Rain Younger
33,1404.707965,1404.708169,0.20399999993969686,1404708,4964.990899393635,-0.41259053549149943,-0.291949877432693,2,2,2,Rain Younger
34,1410.063965,1410.064101,0.13599999988400668,1410064,4894.695902193746,0.9366810367150636,-0.24738759640108454,1,0,1,Rain Younger
35,1452.824965,1452.824083,-0.8820000000469008,1452824,27060.397695049163,-0.9116948387128687,-0.14277359993380764,2,0,2,Rain Younger
36,1484.148965,1484.148471,-0.49400000011701195,1484148,5830.445465933892,0.5172939153764012,-0.2735859602114551,1,0,1,Rain Younger
37,1511.605965,1511.607727,1.7620000000988512,1511608,11675.50876654348,-0.21660170402196444,0.3986565534190078,2,0,2,Rain Younger
38,1511.984965,1511.984193,-0.7720000000972504,1511984,4659.311778537689,0.34498534082308885,-0.22562041293933935,1,0,1,Rain Younger
39,1522.537965,1522.537389,-0.5759999999099819,1522537,6083.646697352009,0.02185789488801707,0.5846371163853408,2,0,2,Rain Younger
