project,mouse,session,session_label,type,name,version,start_s,label,label_name,decided_by,version_at,version_note,added_by,entry_id
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,4,229.074,spike,Dentate Spike,Rain Younger,2026-09-14T15:40:22-04:00,"Gui final curation
-RY",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,4,242.251,spike,Dentate Spike,Rain Younger,2026-09-14T15:40:22-04:00,"Gui final curation
-RY",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,4,283.432,garbage,Garbage,Rain Younger,2026-09-14T15:40:22-04:00,"Gui final curation
-RY",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,4,315.275,spike,Dentate Spike,Rain Younger,2026-09-14T15:40:22-04:00,"Gui final curation
-RY",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,4,346.674,spike,Dentate Spike,Rain Younger,2026-09-14T15:40:22-04:00,"Gui final curation
-RY",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,4,407.93,spike,Dentate Spike,Rain Younger,2026-09-14T15:40:22-04:00,"Gui final curation
-RY",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,4,422.788,garbage,Garbage,Rain Younger,2026-09-14T15:40:22-04:00,"Gui final curation
-RY",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,4,616.698965,spike,Dentate Spike,Rain Younger,2026-09-14T15:40:22-04:00,"Gui final curation
-RY",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,4,669.277965,spike,Dentate Spike,Rain Younger,2026-09-14T15:40:22-04:00,"Gui final curation
-RY",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,4,719.685965,spike,Dentate Spike,Rain Younger,2026-09-14T15:40:22-04:00,"Gui final curation
-RY",theexaminedexistence@gmail.com,852640a8846a
