project,mouse,session,session_label,type,name,version,start_s,label,label_name,decided_by,version_at,version_note,added_by,entry_id
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,6.803021,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,18.988798,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,36.468661,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,192.296712,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,195.128373,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,223.516,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,238.125892,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,238.77,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,258.114588,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,284.66461,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,316.488623,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,368.126037,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,372.496627,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,379.496764,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,387.390565,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,413.969,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,446.481546,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,502.511758,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,522.986247,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,531.630395,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,533.528,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,541.161882,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,555.76,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,556.003973,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,637.164523,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,645.764147,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,654.603752,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,677.917681,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,685.013895,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,701.202269,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,712.282118,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,722.269901,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,844.169,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,887.705535,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,931.017761,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,974.827888,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1193.504,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1227.655631,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1321.478724,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
PTEN,1,8,PTEN m1 s8 2023-10-05,ds,M1ptens8oct4,4,1345.431,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:22:36-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v3. 45 stamp(s) moved by -99.3 to 31.9 ms; 77 left where they were. No labels changed.",Shahriar Tafti,5b468d0d40f5
