project,mouse,session,session_label,type,name,version,start_s,label,label_name,decided_by,version_at,version_note,added_by,entry_id
PTEN,2,3,PTEN m2 s3 2024-01-23,ds,M2ctls3jan23,3,544.185886,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:24:29-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v2. 36 stamp(s) moved by -98.0 to 86.3 ms; 2 left where they were. No labels changed.",theexaminedexistence@gmail.com,841aad39cfff
PTEN,2,3,PTEN m2 s3 2024-01-23,ds,M2ctls3jan23,3,734.947581,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:24:29-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v2. 36 stamp(s) moved by -98.0 to 86.3 ms; 2 left where they were. No labels changed.",theexaminedexistence@gmail.com,841aad39cfff
PTEN,2,3,PTEN m2 s3 2024-01-23,ds,M2ctls3jan23,3,735.630674,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:24:29-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v2. 36 stamp(s) moved by -98.0 to 86.3 ms; 2 left where they were. No labels changed.",theexaminedexistence@gmail.com,841aad39cfff
PTEN,2,3,PTEN m2 s3 2024-01-23,ds,M2ctls3jan23,3,769.697225,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:24:29-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v2. 36 stamp(s) moved by -98.0 to 86.3 ms; 2 left where they were. No labels changed.",theexaminedexistence@gmail.com,841aad39cfff
PTEN,2,3,PTEN m2 s3 2024-01-23,ds,M2ctls3jan23,3,781.858952,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:24:29-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v2. 36 stamp(s) moved by -98.0 to 86.3 ms; 2 left where they were. No labels changed.",theexaminedexistence@gmail.com,841aad39cfff
PTEN,2,3,PTEN m2 s3 2024-01-23,ds,M2ctls3jan23,3,796.459315,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:24:29-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v2. 36 stamp(s) moved by -98.0 to 86.3 ms; 2 left where they were. No labels changed.",theexaminedexistence@gmail.com,841aad39cfff
PTEN,2,3,PTEN m2 s3 2024-01-23,ds,M2ctls3jan23,3,1101.724134,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:24:29-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v2. 36 stamp(s) moved by -98.0 to 86.3 ms; 2 left where they were. No labels changed.",theexaminedexistence@gmail.com,841aad39cfff
PTEN,2,3,PTEN m2 s3 2024-01-23,ds,M2ctls3jan23,3,1420.761382,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:24:29-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v2. 36 stamp(s) moved by -98.0 to 86.3 ms; 2 left where they were. No labels changed.",theexaminedexistence@gmail.com,841aad39cfff
PTEN,2,3,PTEN m2 s3 2024-01-23,ds,M2ctls3jan23,3,1592.057255,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:24:29-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v2. 36 stamp(s) moved by -98.0 to 86.3 ms; 2 left where they were. No labels changed.",theexaminedexistence@gmail.com,841aad39cfff
PTEN,2,3,PTEN m2 s3 2024-01-23,ds,M2ctls3jan23,3,1720.280904,spike,Dentate Spike,Shahriar Tafti,2026-09-21T11:24:29-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v2. 36 stamp(s) moved by -98.0 to 86.3 ms; 2 left where they were. No labels changed.",theexaminedexistence@gmail.com,841aad39cfff
