project,mouse,session,session_label,type,name,version,start_s,label,label_name,decided_by,version_at,version_note,added_by,entry_id
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,229.068723,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,242.196343,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,283.432,garbage,Garbage,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,315.273737,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,346.674,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,407.992575,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,422.788,garbage,Garbage,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,616.698965,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,669.203222,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,719.647446,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,766.956514,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,811.961608,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,847.151473,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,849.407965,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,853.966114,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,896.392901,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,922.053922,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
PTEN,1,2,PTEN m1 s2 2023-10-02,ds,M1ptens2oct2,5,1006.931334,spike,Dentate Spike,Rain Younger,2026-09-21T10:31:23-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 44 stamp(s) moved by -83.7 to 114.7 ms; 29 left where they were. No labels changed.",theexaminedexistence@gmail.com,852640a8846a
