mouse_num,session_num,rel_path,eightBad
1,2,PTEN\M1_Pten\M1ptens2oct2\2023-10-02_16-58-03,FALSE
1,8,PTEN\M1_Pten\M1ptens8oct4\2023-10-05_14-09-57,FALSE
10,4,PTEN\M10_HF6_pten\m10s4aug23\2023-08-23_17-14-35,FALSE
10,7,PTEN\M10_HF6_pten\m10s7aug28\2023-08-28_14-17-49,FALSE
11,10,PTEN\M11_Pten\HF2_s10jul25\2023-07-25_14-40-32,FALSE
11,11,PTEN\M11_Pten\HF2_s11jul25\2023-07-25_16-10-46,FALSE
13,2,PTEN\M13_pten\HF4s2aug1\2023-08-01_12-11-26,FALSE
13,17,PTEN\M13_pten\HF4s17aug4\2023-08-04_13-43-48,FALSE
2,1,PTEN\M13_pten\HF4s1aug1\2023-08-01_11-37-10,FALSE
2,3,CTL\M2_CTL\M2ctls3jan23\2024-01-23_16-04-25,FALSE
2,8,CTL\M2_CTL\M2s8jan26\2024-01-26_17-48-00,FALSE
21,2,CTL\m21_ptenblind\m21s2jul29\2024-07-29_13-05-17,FALSE
21,6,CTL\m21_ptenblind\m21s6jul29\2024-07-29_15-28-43,TRUE
22,3,CTL\m22_ptenblind\m22s3jul15\2024-07-15_16-12-27,TRUE
22,6,CTL\m22_ptenblind\m22s6jul15\2024-07-15_17-49-43,TRUE
23,1,CTL\m23_ptenblind\m23s1aug6\2024-08-06_12-36-23,FALSE
23,5,CTL\m23_ptenblind\m23s5aug7\2024-08-06_15-12-51,FALSE
24,1,CTL\m24_ptenblind\m24s1jul16\2024-07-16_12-20-40,TRUE
24,4,CTL\m24_ptenblind\m24s4jul16\2024-07-16_14-11-34,TRUE
26,2,CTL\m26_ptenblind\m26s2jun28\2024-06-28_12-00-26,TRUE
26,5,CTL\m26_ptenblind\m26s5jun28\2024-06-28_15-19-00,TRUE
28,2,PTEN\m28_ptenblind\m28s2jun18\2024-06-18_13-33-44,TRUE
28,7,PTEN\m28_ptenblind\m28s7jun18\2024-06-18_16-37-05,TRUE
29,1,PTEN\m29_ptenblind\m29s1jul23\2024-07-23_13-03-51,TRUE
29,4,PTEN\m29_ptenblind\m29s4jul23\2024-07-23_15-31-49,TRUE
3,2,PTEN\M3_pten\m3s2sept20\2023-09-20_12-55-14,FALSE
3,7,PTEN\M3_pten\m3s7sept22\2023-09-22_16-15-23,FALSE
30,1,PTEN\m30_ptenblind\m30s1jul1\2024-07-01_13-58-59,TRUE
30,4,PTEN\m30_ptenblind\m30s4jul1\2024-07-01_15-55-11,TRUE
33,4,PTEN\m33_ptenblind\m33s4jun14\2024-06-14_11-46-54,TRUE
33,8,PTEN\m33_ptenblind\m33s8jun14\2024-06-14_14-16-58,TRUE
34,5,PTEN\M34_ptenblind\m34s5jun10\2024-06-10_14-45-34,TRUE
34,8,PTEN\M34_ptenblind\m34s8jun10\2024-06-10_17-00-07,TRUE
41,1,PTEN_DKO\PTENDKOM41\M41s1nov26\2024-11-26_11-55-25,FALSE
41,6,PTEN_DKO\PTENDKOM41\M41s6nov26\2024-11-26_16-16-02,FALSE
44,1,PTEN_DKO\PtenDKOM44\M44S1\2024-11-11_09-36-17,FALSE
44,5,PTEN_DKO\PtenDKOM44\m44s5nov11\2024-11-11_16-17-54,FALSE
46,1,PTEN_DKO\PTENDKOm46\m46s1jan15\2025-01-15_14-32-19,FALSE
46,7,PTEN_DKO\PTENDKOm46\m46s7jan15\2025-01-15_17-51-31,FALSE
47,1,PTEN_DKO\PTENDKOM47\m47s1dec04\2024-12-04_11-13-32,FALSE
48,2,PTEN_DKO\PTENKDOM48\m48s2feb4\2025-02-04_12-48-12,FALSE
48,6,PTEN_DKO\PTENKDOM48\m48s6cno90feb4\2025-02-04_15-27-16,FALSE
