Region,TimeFrame,Metric,n_pairs,MeanDelta,SD_Delta,SEM_Delta,t,p_ttest,p_wilcoxon,cohens_dz
CA1,AS,CSD,5,9.325701733790684,11.347378009844666,5.0747017192797905,1.8376847053612053,0.13997382527811403,0.0625,0.8218375844798654
CA1,AS,Voltage,5,-88.84344919617978,167.73100235310443,75.01158463914373,-1.184396378553748,0.30182374657366606,0.3125,-0.5296781629501508
CA1,GZ,CSD,5,8.065279695723541,7.8894544837995,3.528271306233239,2.285901223490091,0.08423666382951762,0.0625,1.0222861051147563
CA1,GZ,Voltage,5,-11.205092114553235,80.04870264528684,35.79886812510572,-0.31300129588999803,0.7699203153123186,0.8125,-0.13997843493111223
CA1 SLM,AS,CSD,5,-8.597431293263757,17.207954605111226,7.69563125015185,-1.1171833750602476,0.32648763683489457,0.3125,-0.4996195939934714
CA1 SLM,AS,Voltage,5,-162.944031907232,178.38723469571593,79.77719661956597,-2.0424888165005877,0.1106302246659418,0.0625,-0.9134287673956817
CA1 SLM,GZ,CSD,5,-11.329282082910186,27.593652314611525,12.340256464593155,-0.9180750915036757,0.4105284428384155,0.4375,-0.41057566261031164
CA1 SLM,GZ,Voltage,5,-90.71678721842213,91.10316464222221,40.74257382107283,-2.226584594699849,0.0899515126369579,0.125,-0.995758902280536
CA1 SP,AS,CSD,4,-10.05760090071378,16.86492033002006,8.43246016501003,-1.1927243893125248,0.31871345377460447,0.625,-0.5963621946562624
CA1 SP,AS,Voltage,4,-35.730759756734365,128.44659868645124,64.22329934322562,-0.5563519800778236,0.6167749178600683,0.625,-0.2781759900389118
CA1 SP,GZ,CSD,4,-8.212445451800104,6.585305603528676,3.292652801764338,-2.4941729195983067,0.08815863673778086,0.25,-1.2470864597991533
CA1 SP,GZ,Voltage,4,31.455932875994534,70.39760493004981,35.198802465024905,0.8936648599693284,0.43734702196889375,0.625,0.4468324299846642
DG,AS,CSD,2,5.096554011682583,0.33313362401487506,0.23556104458216784,21.63581003269331,0.02940342994190747,0.5,15.298827990581378
DG,AS,Voltage,2,-207.56975259872604,332.6315759200611,235.20604296984308,-0.882501784298712,0.5396837750720027,1.0,-0.624022996086847
DG,GZ,CSD,2,3.3656181185611485,11.733872694286058,8.297100951709336,0.4056378412351096,0.7546740400781912,1.0,0.28682926824321814
DG,GZ,Voltage,2,-41.200599741541566,525.0997435649984,371.3015894741275,-0.11096262690362774,0.9296468017686365,1.0,-0.078462425941828
DG GCL1,AS,CSD,5,-170.38858208145706,222.67966925989026,99.58537553445697,-1.7109799623389668,0.16225443033420334,0.3125,-0.7651735007859919
DG GCL1,AS,Voltage,5,-342.7225245053532,243.28790172176494,108.8016572706309,-3.14997522191112,0.03451484264184166,0.0625,-1.4087117447266497
DG GCL1,GZ,CSD,5,-153.42806647436478,190.48178549461846,85.18604416830006,-1.8010939229815692,0.14605236261440152,0.125,-0.805473689129712
DG GCL1,GZ,Voltage,5,-441.4680328915545,143.95758615586598,64.37978970425979,-6.857245649908423,0.002367867321983251,0.0625,-3.0666534823219913
DG GCL2,AS,CSD,5,25.373160966729408,291.5580622146571,130.38872930001725,0.19459627456255954,0.8551928568590066,0.8125,0.08702609961801926
DG GCL2,AS,Voltage,5,25.435556787256125,265.6237829637028,118.790567029498,0.21412101502083059,0.8409249051314001,0.8125,0.09575782899956614
DG GCL2,GZ,CSD,5,11.376930250850886,50.66264732407863,22.657024667347525,0.5021369936206541,0.6419534864894958,0.625,0.22456249035063217
DG GCL2,GZ,Voltage,5,60.30453152974552,509.9668949957659,228.06412869700597,0.26441918715706036,0.8045222440270295,1.0,0.11825185540768525
DG MML1,AS,CSD,5,129.77817319222513,152.39440557392345,68.15285005079313,1.9042222459589542,0.12960622404880426,0.1875,0.8515940772463091
DG MML1,AS,Voltage,5,-30.560169195675194,233.9629334948704,104.63140470195853,-0.2920745380674714,0.7847520137773629,0.8125,-0.1306197043231432
DG MML1,GZ,CSD,5,222.76826893501914,318.5788213729013,142.47278015631403,1.5635847681964856,0.19295683173435996,0.125,0.6992563660541186
DG MML1,GZ,Voltage,5,73.44451262577626,496.694219663262,222.1284078396533,0.33063989131364624,0.7575104983546906,1.0,0.14786665461009105
DG MML2,AS,CSD,5,62.55596116099323,139.10735514148342,62.21070045331236,1.0055498604768158,0.3715248790530141,0.4375,0.4496955685583178
DG MML2,AS,Voltage,5,131.66455515686926,709.5906073516204,317.338566846717,0.4149024698295393,0.6995009311613329,1.0,0.18555002531428108
DG MML2,GZ,CSD,5,94.44322092369988,229.19928878594874,102.50103802399732,0.921387946350251,0.4089903724323687,0.4375,0.4120572163376181
DG MML2,GZ,Voltage,5,342.5148848225155,719.1393126561072,321.6088776783061,1.065004446690433,0.34689162584808686,0.625,0.47628446782787176
DG OML1,AS,CSD,5,-40.56445094651154,34.94055814095727,15.625892634992827,-2.595976555967816,0.060303011232794544,0.0625,-1.1609560094279647
DG OML1,AS,Voltage,5,-139.25386429420348,118.52816923499364,53.007408731609004,-2.627064171336574,0.058365455513016744,0.125,-1.1748588136725469
DG OML1,GZ,CSD,5,-31.40491496245982,42.68756814800924,19.090460834620693,-1.6450579812880564,0.17530311842403862,0.3125,-0.7356922946177342
DG OML1,GZ,Voltage,5,-33.14529565566374,258.3556791567762,115.54017219353543,-0.28687247929788223,0.7884564845546647,1.0,-0.12829327291679316
DG OML2,AS,CSD,3,-3.6588303452215913,12.591915507265023,7.269945807732484,-0.5032816532593646,0.6647241125715968,1.0,-0.29056979798749405
DG OML2,AS,Voltage,3,-98.09451659732322,399.0468905987843,230.38982970649127,-0.4257762450811838,0.711712919349728,1.0,-0.24582202971216954
DG OML2,GZ,CSD,3,-23.29309878265145,84.4212246443712,48.74061677374558,-0.4778991388389327,0.6798593055758191,0.75,-0.27591519645414814
DG OML2,GZ,Voltage,3,44.92671697726147,424.75329033490635,245.23142651403745,0.1832013034214022,0.871530576972695,1.0,0.10577132184623686
HIL,AS,CSD,5,21.724640116014413,110.42963736757814,49.38563517691113,0.43989795895489786,0.6827349393449266,1.0,0.1967283478773128
HIL,AS,Voltage,5,54.876479449795994,788.0761328103354,352.43836088181246,0.15570518292189653,0.8838072165099814,0.625,0.06963347469248
HIL,GZ,CSD,5,-30.266056141948155,52.716743429593656,23.575644372197363,-1.2837848952981645,0.268537545121062,0.3125,-0.5741260588748293
HIL,GZ,Voltage,5,-259.39367610900734,255.143032122551,114.1034327622873,-2.2733205288346103,0.08541386092510955,0.125,-1.0166598474239918
