Mouse,Condition,Group,Session_ID,TimeFrame,Channel,Region,CSD_Val,Voltage_Val,,
M13_pten,CNO,PTEN,m13s17,AS,1,CA1 SP,-28.11249965,-56.31607204,,
M13_pten,CNO,PTEN,m13s17,AS,2,CA1 SP,-28.11249965,-56.31607204,,
M13_pten,CNO,PTEN,m13s17,AS,3,CA1 SP,-28.11249965,-97.88923844,,
M13_pten,CNO,PTEN,m13s17,AS,4,CA1 SP,-28.11249965,-97.88923844,,
M13_pten,CNO,PTEN,m13s17,AS,5,CA1,26.80977497,-117.7847793,,
M13_pten,CNO,PTEN,m13s17,AS,6,CA1,26.80977497,-117.7847793,,
M13_pten,CNO,PTEN,m13s17,AS,7,CA1,23.77548222,-168.112253,,
M13_pten,CNO,PTEN,m13s17,AS,8,CA1,23.77548222,-168.112253,,
M13_pten,CNO,PTEN,m13s17,AS,9,CA1,-9.760873021,-240.834075,,
M13_pten,CNO,PTEN,m13s17,AS,10,CA1,-9.760873021,-240.834075,,
M13_pten,CNO,PTEN,m13s17,AS,11,CA1,-31.35307329,-301.7457975,,
M13_pten,CNO,PTEN,m13s17,AS,12,CA1,-31.35307329,-301.7457975,,
M13_pten,CNO,PTEN,m13s17,AS,13,CA1 SLM,-67.70746994,-324.7817041,,
M13_pten,CNO,PTEN,m13s17,AS,14,CA1 SLM,-67.70746994,-324.7817041,,
M13_pten,CNO,PTEN,m13s17,AS,15,CA1 SLM,-41.02096689,-271.041742,,
M13_pten,CNO,PTEN,m13s17,AS,16,CA1 SLM,-41.02096689,-271.041742,,
M13_pten,CNO,PTEN,m13s17,AS,17,CA1 SLM,30.89012019,-172.7223833,,
M13_pten,CNO,PTEN,m13s17,AS,18,CA1 SLM,30.89012019,-172.7223833,,
M13_pten,CNO,PTEN,m13s17,AS,19,DG OML1,6.770219339,-107.8990806,,
M13_pten,CNO,PTEN,m13s17,AS,20,DG OML1,6.770219339,-107.8990806,,
M13_pten,CNO,PTEN,m13s17,AS,21,DG OML1,51.42163087,-53.01110933,,
M13_pten,CNO,PTEN,m13s17,AS,22,DG MML1,51.42163087,-53.01110933,,
M13_pten,CNO,PTEN,m13s17,AS,23,DG MML1,147.0717272,-48.43397618,,
M13_pten,CNO,PTEN,m13s17,AS,24,DG MML1,147.0717272,-48.43397618,,
M13_pten,CNO,PTEN,m13s17,AS,25,DG GCL1,-101.5225456,-185.7215464,,
M13_pten,CNO,PTEN,m13s17,AS,26,DG GCL1,-101.5225456,-185.7215464,,
M13_pten,CNO,PTEN,m13s17,AS,27,DG GCL1,-262.1915283,-201.2420186,,
M13_pten,CNO,PTEN,m13s17,AS,28,DG GCL1,-262.1915283,-201.2420186,,
M13_pten,CNO,PTEN,m13s17,AS,29,HIL,-38.16746534,61.55340439,,
M13_pten,CNO,PTEN,m13s17,AS,30,HIL,-38.16746534,61.55340439,,
M13_pten,CNO,PTEN,m13s17,AS,31,HIL,176.1439487,368.669901,,
M13_pten,CNO,PTEN,m13s17,AS,32,HIL,176.1439487,368.669901,,
M13_pten,CNO,PTEN,m13s17,AS,33,HIL,433.172541,462.0847348,,
M13_pten,CNO,PTEN,m13s17,AS,34,HIL,433.172541,462.0847348,,
M13_pten,CNO,PTEN,m13s17,AS,35,HIL,275.8087029,21.6659727,,
M13_pten,CNO,PTEN,m13s17,AS,36,HIL,275.8087029,21.6659727,,
M13_pten,CNO,PTEN,m13s17,AS,37,DG GCL2,-143.0369759,-744.0029646,,
M13_pten,CNO,PTEN,m13s17,AS,38,DG GCL2,-143.0369759,-744.0029646,,
M13_pten,CNO,PTEN,m13s17,AS,39,DG GCL2,-677.7540073,-1378.906883,,
M13_pten,CNO,PTEN,m13s17,AS,40,DG GCL2,-677.7540073,-1378.906883,,
M13_pten,CNO,PTEN,m13s17,AS,41,DG GCL2,-220.8727496,-1276.887983,,
M13_pten,CNO,PTEN,m13s17,AS,42,DG GCL2,-220.8727496,-1276.887983,,
M13_pten,CNO,PTEN,m13s17,AS,43,DG MML2,148.229747,-880.2546717,,
M13_pten,CNO,PTEN,m13s17,AS,44,DG MML2,148.229747,-880.2546717,,
M13_pten,CNO,PTEN,m13s17,AS,45,DG MML2,175.6419905,-615.2220861,,
M13_pten,CNO,PTEN,m13s17,AS,46,DG MML2,175.6419905,-615.2220861,,
M13_pten,CNO,PTEN,m13s17,AS,47,DG MML2,89.81463188,-525.2518367,,
M13_pten,CNO,PTEN,m13s17,AS,48,DG MML2,89.81463188,-525.2518367,,
M13_pten,CNO,PTEN,m13s17,AS,49,DG OML2,-6.28248444,-528.4197751,,
M13_pten,CNO,PTEN,m13s17,AS,50,DG OML2,-6.28248444,-528.4197751,,
M13_pten,CNO,PTEN,m13s17,AS,51,DG OML2,-61.08849531,-514.1679307,,
M13_pten,CNO,PTEN,m13s17,AS,52,DG OML2,-61.08849531,-514.1679307,,
M13_pten,CNO,PTEN,m13s17,AS,53,DG OML2,-10.19560829,-412.9129653,,
M13_pten,CNO,PTEN,m13s17,AS,54,DG OML2,-10.19560829,-412.9129653,,
M13_pten,CNO,PTEN,m13s17,AS,55,DG OML2,98.26499881,-302.0976611,,
M13_pten,CNO,PTEN,m13s17,AS,56,DG OML2,98.26499881,-302.0976611,,
M13_pten,CNO,PTEN,m13s17,AS,57,DG OML2,-69.11573647,-326.6140928,,
M13_pten,CNO,PTEN,m13s17,AS,58,DG OML2,-69.11573647,-326.6140928,,
M13_pten,CNO,PTEN,m13s17,AS,59,DG OML2,30.16692819,-283.38492,,
M13_pten,CNO,PTEN,m13s17,AS,60,DG,30.16692819,-283.38492,,
M13_pten,CNO,PTEN,m13s17,AS,61,DG,2.210688422,-269.7148414,,
M13_pten,CNO,PTEN,m13s17,AS,62,DG,2.210688422,-269.7148414,,
M13_pten,CNO,PTEN,m13s17,AS,63,DG,2.210688422,-258.3758546,,
M13_pten,CNO,PTEN,m13s17,AS,64,DG,2.210688422,-258.3758546,,
M13_pten,CNO,PTEN,m13s17,GZ,1,CA1 SP,2.193144722,-98.17978411,,
M13_pten,CNO,PTEN,m13s17,GZ,2,CA1 SP,2.193144722,-98.17978411,,
M13_pten,CNO,PTEN,m13s17,GZ,3,CA1 SP,2.193144722,-124.4245639,,
M13_pten,CNO,PTEN,m13s17,GZ,4,CA1 SP,2.193144722,-124.4245639,,
M13_pten,CNO,PTEN,m13s17,GZ,5,CA1,18.76741768,-152.7683201,,
M13_pten,CNO,PTEN,m13s17,GZ,6,CA1,18.76741768,-152.7683201,,
M13_pten,CNO,PTEN,m13s17,GZ,7,CA1,32.86633273,-200.9931209,,
M13_pten,CNO,PTEN,m13s17,GZ,8,CA1,32.86633273,-200.9931209,,
M13_pten,CNO,PTEN,m13s17,GZ,9,CA1,9.151289898,-280.3345425,,
M13_pten,CNO,PTEN,m13s17,GZ,10,CA1,9.151289898,-280.3345425,,
M13_pten,CNO,PTEN,m13s17,GZ,11,CA1,5.928949584,-365.9490541,,
M13_pten,CNO,PTEN,m13s17,GZ,12,CA1,5.928949584,-365.9490541,,
M13_pten,CNO,PTEN,m13s17,GZ,13,CA1 SLM,-49.99685896,-450.146994,,
M13_pten,CNO,PTEN,m13s17,GZ,14,CA1 SLM,-49.99685896,-450.146994,,
M13_pten,CNO,PTEN,m13s17,GZ,15,CA1 SLM,-40.9694022,-481.3376458,,
M13_pten,CNO,PTEN,m13s17,GZ,16,CA1 SLM,-40.9694022,-481.3376458,,
M13_pten,CNO,PTEN,m13s17,GZ,17,CA1 SLM,8.343386811,-463.5478989,,
M13_pten,CNO,PTEN,m13s17,GZ,18,CA1 SLM,8.343386811,-463.5478989,,
M13_pten,CNO,PTEN,m13s17,GZ,19,DG OML1,-0.113256158,-455.0629186,,
M13_pten,CNO,PTEN,m13s17,GZ,20,DG OML1,-0.113256158,-455.0629186,,
M13_pten,CNO,PTEN,m13s17,GZ,21,DG OML1,110.7661025,-445.603214,,
M13_pten,CNO,PTEN,m13s17,GZ,22,DG MML1,110.7661025,-445.603214,,
M13_pten,CNO,PTEN,m13s17,GZ,23,DG MML1,264.438157,-513.9238574,,
M13_pten,CNO,PTEN,m13s17,GZ,24,DG MML1,264.438157,-513.9238574,,
M13_pten,CNO,PTEN,m13s17,GZ,25,DG GCL1,-155.5590161,-797.6969153,,
M13_pten,CNO,PTEN,m13s17,GZ,26,DG GCL1,-155.5590161,-797.6969153,,
M13_pten,CNO,PTEN,m13s17,GZ,27,DG GCL1,-357.4132211,-897.6114893,,
M13_pten,CNO,PTEN,m13s17,GZ,28,DG GCL1,-357.4132211,-897.6114893,,
M13_pten,CNO,PTEN,m13s17,GZ,29,HIL,-19.55842507,-620.420525,,
M13_pten,CNO,PTEN,m13s17,GZ,30,HIL,-19.55842507,-620.420525,,
M13_pten,CNO,PTEN,m13s17,GZ,31,HIL,58.57424439,-353.7531688,,
M13_pten,CNO,PTEN,m13s17,GZ,32,HIL,58.57424439,-353.7531688,,
M13_pten,CNO,PTEN,m13s17,GZ,33,HIL,226.6062045,-241.6804405,,
M13_pten,CNO,PTEN,m13s17,GZ,34,HIL,226.6062045,-241.6804405,,
M13_pten,CNO,PTEN,m13s17,GZ,35,HIL,136.9574648,-544.7906017,,
M13_pten,CNO,PTEN,m13s17,GZ,36,HIL,136.9574648,-544.7906017,,
M13_pten,CNO,PTEN,m13s17,GZ,37,DG GCL2,-58.72218482,-1040.942862,,
M13_pten,CNO,PTEN,m13s17,GZ,38,DG GCL2,-58.72218482,-1040.942862,,
M13_pten,CNO,PTEN,m13s17,GZ,39,DG GCL2,-746.9446936,-1461.939752,,
M13_pten,CNO,PTEN,m13s17,GZ,40,DG GCL2,-746.9446936,-1461.939752,,
M13_pten,CNO,PTEN,m13s17,GZ,41,DG GCL2,-312.1582169,-1059.683459,,
M13_pten,CNO,PTEN,m13s17,GZ,42,DG GCL2,-312.1582169,-1059.683459,,
M13_pten,CNO,PTEN,m13s17,GZ,43,DG MML2,338.4177114,-267.5220811,,
M13_pten,CNO,PTEN,m13s17,GZ,44,DG MML2,338.4177114,-267.5220811,,
M13_pten,CNO,PTEN,m13s17,GZ,45,DG MML2,354.7539335,208.7717874,,
M13_pten,CNO,PTEN,m13s17,GZ,46,DG MML2,354.7539335,208.7717874,,
M13_pten,CNO,PTEN,m13s17,GZ,47,DG MML2,180.6663061,348.724435,,
M13_pten,CNO,PTEN,m13s17,GZ,48,DG MML2,180.6663061,348.724435,,
M13_pten,CNO,PTEN,m13s17,GZ,49,DG OML2,55.96832252,329.5267376,,
M13_pten,CNO,PTEN,m13s17,GZ,50,DG OML2,55.96832252,329.5267376,,
M13_pten,CNO,PTEN,m13s17,GZ,51,DG OML2,26.79363231,257.4667427,,
M13_pten,CNO,PTEN,m13s17,GZ,52,DG OML2,26.79363231,257.4667427,,
M13_pten,CNO,PTEN,m13s17,GZ,53,DG OML2,8.425461468,148.7097033,,
M13_pten,CNO,PTEN,m13s17,GZ,54,DG OML2,8.425461468,148.7097033,,
M13_pten,CNO,PTEN,m13s17,GZ,55,DG OML2,-105.8988349,40.69670875,,
M13_pten,CNO,PTEN,m13s17,GZ,56,DG OML2,-105.8988349,40.69670875,,
M13_pten,CNO,PTEN,m13s17,GZ,57,DG OML2,-15.09493737,20.9074613,,
M13_pten,CNO,PTEN,m13s17,GZ,58,DG OML2,-15.09493737,20.9074613,,
M13_pten,CNO,PTEN,m13s17,GZ,59,DG OML2,17.73815341,19.38164057,,
M13_pten,CNO,PTEN,m13s17,GZ,60,DG,17.73815341,19.38164057,,
M13_pten,CNO,PTEN,m13s17,GZ,61,DG,-9.290026975,0.736994276,,
M13_pten,CNO,PTEN,m13s17,GZ,62,DG,-9.290026975,0.736994276,,
M13_pten,CNO,PTEN,m13s17,GZ,63,DG,-9.290026975,-12.02977799,,
M13_pten,CNO,PTEN,m13s17,GZ,64,DG,-9.290026975,-12.02977799,,
M13_pten,Base,PTEN,m13s2,AS,1,CA1,-2.074581109,-69.82365379,,
M13_pten,Base,PTEN,m13s2,AS,2,CA1,-2.074581109,-69.82365379,,
M13_pten,Base,PTEN,m13s2,AS,3,CA1,-2.074581109,-80.60345983,,
M13_pten,Base,PTEN,m13s2,AS,4,CA1,-2.074581109,-80.60345983,,
M13_pten,Base,PTEN,m13s2,AS,5,CA1,-1.745232783,-87.81527103,,
M13_pten,Base,PTEN,m13s2,AS,6,CA1,-1.745232783,-87.81527103,,
M13_pten,Base,PTEN,m13s2,AS,7,CA1,-36.52772443,-89.50218301,,
M13_pten,Base,PTEN,m13s2,AS,8,CA1,-36.52772443,-89.50218301,,
M13_pten,Base,PTEN,m13s2,AS,9,CA1 SLM,-29.93247136,-50.94002323,,
M13_pten,Base,PTEN,m13s2,AS,10,CA1 SLM,-29.93247136,-50.94002323,,
M13_pten,Base,PTEN,m13s2,AS,11,CA1 SLM,19.01312263,19.06659966,,
