Mouse,Channel,TimeFrame,Region,Base_CSD,CNO_CSD,Delta_CSD,Base_Voltage,CNO_Voltage,Delta_Voltage,Base_Theta,CNO_Theta,Delta_Theta
M13_pten,2,AS,CA1|CA1 SP,-3.228919468079879,-28.11249964568897,-24.88358017760909,-69.82365379004747,-56.31607204379462,13.507581746252853,-0.003206019346714903,-0.02026690530158532,-0.017060885954870417
M13_pten,2,GZ,CA1|CA1 SP,,,,-150.6406921155816,-98.17978411378904,52.46090800179256,-0.003206019346714903,-0.02026690530158532,-0.017060885954870417
M13_pten,4,AS,CA1|CA1 SP,-3.228919468079879,-28.11249964568897,-24.88358017760909,-80.60345983033434,-97.88923844239274,-17.285778612058394,-0.01502650111526771,-0.009911094578718768,0.005115406536548942
M13_pten,4,GZ,CA1|CA1 SP,3.618188294820104,2.193144721727319,-1.4250435730927848,-175.4049563317701,-124.4245638976423,50.98039243412781,-0.01502650111526771,-0.009911094578718768,0.005115406536548942
M13_pten,6,AS,CA1,-3.126721904663842,26.80977497067929,29.93649687534313,-87.81527103116021,-117.7847793315536,-29.969508300393386,-0.02277289947415046,-0.02975748219939486,-0.006984582725244399
M13_pten,6,GZ,CA1,17.60871830412533,18.76741768449924,1.1586993803739105,-205.3565161225174,-152.7683201337923,52.58819598872512,-0.02277289947415046,-0.02975748219939486,-0.006984582725244399
M13_pten,8,AS,CA1,-35.53271551618139,23.77548222311231,59.3081977392937,-89.50218300525651,-168.1122529993274,-78.6100699940709,-0.02609651395487884,-0.005788009238043126,0.020308504716835714
M13_pten,8,GZ,CA1,-35.88549138298697,32.86633273308559,68.75182411607256,-248.5099109394703,-200.9931208748332,47.51679006463709,-0.02609651395487884,-0.005788009238043126,0.020308504716835714
M13_pten,10,AS,CA1 SLM|CA1,-28.15306920740705,-9.760873021201967,18.392196186205084,-50.94002322803621,-240.8340750059936,-189.8940517779574,-0.02231209302738224,-0.02728998882503133,-0.004977895797649089
M13_pten,10,GZ,CA1 SLM|CA1,-33.37093381668734,9.151289897669724,42.52222371435707,-253.5306490384616,-280.334542463901,-26.803893425439412,-0.02231209302738224,-0.02728998882503133,-0.004977895797649089
M13_pten,12,AS,CA1 SLM|CA1,19.92624340248747,-31.35307328801558,-51.27931669050305,19.06659966111755,-301.745797473584,-320.81239713470154,-0.01784027430784138,-0.02095943631892313,-0.0031191620110817483
