Mouse,Group,Region,TimeFrame,nChannels,Mean_CSD,Mean_Voltage
M13_pten,Base,CA1,AS,4,-11.279319089251247,-81.93614191419964
M13_pten,Base,CA1,GZ,4,-4.886194928013846,-194.97801887733485
M13_pten,Base,CA1 SLM,AS,2,-4.113412902459791,-15.93671178345933
M13_pten,Base,CA1 SLM,GZ,2,-12.156522007793114,-237.45107951410785
M13_pten,Base,DG,AS,6,6.668442045636191,-298.1281623470998
M13_pten,Base,DG,GZ,6,9.15554605110112,415.19847483432505
M13_pten,Base,DG GCL1,AS,2,-106.78488434756474,89.72589740576626
M13_pten,Base,DG GCL1,GZ,2,-144.1028680162454,-533.7709905520967
M13_pten,Base,DG GCL2,AS,3,-349.7346553718687,-1266.3239528681577
M13_pten,Base,DG GCL2,GZ,3,-435.1139242142266,-1381.7822399035176
M13_pten,Base,DG MML1,AS,3,27.820331744345946,127.5073442196311
M13_pten,Base,DG MML1,GZ,3,64.04551718233041,-276.0115980651008
M13_pten,Base,DG MML2,AS,2,180.0561905282467,-740.061019960776
M13_pten,Base,DG MML2,GZ,2,429.5992792096387,186.5342129374213
M13_pten,Base,DG OML1,AS,2,12.258760436135153,88.55603093580436
M13_pten,Base,DG OML1,GZ,2,14.613906443858557,-189.55433714434895
M13_pten,Base,DG OML2,AS,2,-12.712849750777696,-521.1411423474653
M13_pten,Base,DG OML2,GZ,2,76.37860698084664,603.9072351828502
M13_pten,Base,HIL,AS,6,131.0735043717006,550.6329804814258
M13_pten,Base,HIL,GZ,6,67.92382428821604,-247.12252205988588
M13_pten,CNO,CA1,AS,4,2.367827721143513,-207.11922620261464
M13_pten,CNO,CA1,GZ,4,16.678497474710465,-250.0112593923867
M13_pten,CNO,CA1 SLM,AS,3,-25.946105546814593,-256.1819431209592
M13_pten,CNO,CA1 SLM,GZ,3,-27.540958115505436,-465.0108462474386
M13_pten,CNO,CA1 SP,AS,2,-28.11249964568897,-77.10265524309368
M13_pten,CNO,CA1 SP,GZ,2,2.193144721727319,-111.30217400571567
M13_pten,CNO,DG,AS,3,11.529435012736606,-270.49187197598275
M13_pten,CNO,DG,GZ,3,4.224063217952934,2.696285618655881
M13_pten,CNO,DG GCL1,AS,2,-181.857036975608,-193.48178249890327
M13_pten,CNO,DG GCL1,GZ,2,-256.4861185999626,-847.6542023089015
M13_pten,CNO,DG GCL2,AS,3,-347.22124427700567,-1133.2659435631122
M13_pten,CNO,DG GCL2,GZ,3,-372.60836510397144,-1187.5220243139117
M13_pten,CNO,DG MML1,AS,2,99.24667903841382,-50.7225427551181
M13_pten,CNO,DG MML1,GZ,2,187.6021297194416,-479.7635356570037
M13_pten,CNO,DG MML2,AS,3,137.89545648096438,-673.576198166705
M13_pten,CNO,DG MML2,GZ,3,291.27931702163824,96.65804712816912
M13_pten,CNO,DG OML1,AS,1,6.770219339434157,-107.8990806337375
M13_pten,CNO,DG OML1,GZ,1,-0.1132561582779032,-455.0629185666758
M13_pten,CNO,DG OML2,AS,5,-9.683465138002404,-416.84248498263054
M13_pten,CNO,DG OML2,GZ,5,-5.961271201589465,159.46147073737728
M13_pten,CNO,HIL,AS,4,211.73943181696734,228.49350321606929
M13_pten,CNO,HIL,GZ,4,100.64487214027628,-440.1611840047773
M34_ptenblind,Base,CA1,AS,4,-0.7796909498131827,-85.91606804938732
M34_ptenblind,Base,CA1,GZ,4,-2.451086557039648,-79.50448208167904
M34_ptenblind,Base,CA1 SLM,AS,3,-9.051740017083594,-105.6112497838866
M34_ptenblind,Base,CA1 SLM,GZ,3,-6.585069881972448,-65.54617126131318
M34_ptenblind,Base,CA1 SP,AS,3,1.6964703468004059,-66.00105844922416
M34_ptenblind,Base,CA1 SP,GZ,3,0.6910754788306477,-69.11756171554816
M34_ptenblind,Base,DG GCL1,AS,3,-168.3853682756221,-613.4899134128091
M34_ptenblind,Base,DG GCL1,GZ,3,-214.4212620232695,-865.3551112107242
M34_ptenblind,Base,DG GCL2,AS,5,-126.49777307534767,-700.3851672920449
M34_ptenblind,Base,DG GCL2,GZ,5,-153.6709693170363,-759.9265176741802
M34_ptenblind,Base,DG MML1,AS,2,82.03534762877649,-269.4335874185523
M34_ptenblind,Base,DG MML1,GZ,2,91.70163062310982,-365.6798816118084
M34_ptenblind,Base,DG MML2,AS,3,152.78906468540197,185.70670184587874
M34_ptenblind,Base,DG MML2,GZ,3,265.1017712008569,550.7620722869706
M34_ptenblind,Base,DG OML1,AS,2,57.706496294806996,-71.98064653705265
M34_ptenblind,Base,DG OML1,GZ,2,104.9765309979839,-30.871031714267417
M34_ptenblind,Base,HIL,AS,7,76.14003614565729,-63.26347310372054
M34_ptenblind,Base,HIL,GZ,7,74.74254133514546,-313.7998558598324
M34_ptenblind,CNO,CA1,AS,4,3.8198262703518986,-98.5160199014407
M34_ptenblind,CNO,CA1,GZ,4,3.287249446464579,-122.9680260115541
M34_ptenblind,CNO,CA1 SLM,AS,3,-20.074010200207812,-140.03105593208173
M34_ptenblind,CNO,CA1 SLM,GZ,3,-21.480718515985014,-142.73049848141102
M34_ptenblind,CNO,CA1 SP,AS,2,3.156512159041614,-83.55302251014189
M34_ptenblind,CNO,CA1 SP,GZ,2,1.085553850446427,-115.90147353447014
M34_ptenblind,CNO,DG GCL1,AS,3,-160.8178024096867,-666.7365055502554
M34_ptenblind,CNO,DG GCL1,GZ,3,-229.84785088745681,-1134.6601356667154
M34_ptenblind,CNO,DG GCL2,AS,4,-143.2793770212739,-823.1205558663792
M34_ptenblind,CNO,DG GCL2,GZ,4,-207.11190359933028,-1187.9147924919037
M34_ptenblind,CNO,DG MML1,AS,3,91.97705916605766,-134.06627137207332
M34_ptenblind,CNO,DG MML1,GZ,3,132.00610464069698,-266.84248698679016
M34_ptenblind,CNO,DG MML2,AS,3,165.64486485830747,-48.309923136948036
M34_ptenblind,CNO,DG MML2,GZ,3,310.87848997335834,480.41236037671996
M34_ptenblind,CNO,DG OML1,AS,3,13.708681183920584,-38.791459767014295
M34_ptenblind,CNO,DG OML1,GZ,3,39.53179565992225,-15.716767143589001
M34_ptenblind,CNO,HIL,AS,7,56.150034105014264,-224.29376395916245
M34_ptenblind,CNO,HIL,GZ,7,39.81802603223748,-772.8595752786258
M3_pten,Base,CA1,AS,4,-0.5503541174336133,-275.22417411674695
M3_pten,Base,CA1,GZ,4,-5.972227393007674,-415.54728705552577
M3_pten,Base,CA1 SLM,AS,3,-20.53769858208847,-182.08582938189596
M3_pten,Base,CA1 SLM,GZ,3,-32.07263219391494,-299.27720185008394
M3_pten,Base,CA1 SP,AS,3,-1.1739014636857683,-292.8476121370768
M3_pten,Base,CA1 SP,GZ,3,2.575110829820381,-412.52734302230806
M3_pten,Base,DG,AS,4,20.518902705675277,-69.06195561061126
M3_pten,Base,DG,GZ,4,10.06793696160193,77.36997419604603
M3_pten,Base,DG GCL1,AS,2,-20.55137508332908,202.7597963382775
M3_pten,Base,DG GCL1,GZ,2,-10.037106153202906,226.71363250686937
M3_pten,Base,DG GCL2,AS,2,-98.07154024182235,-202.77466372875205
M3_pten,Base,DG GCL2,GZ,2,-77.25507003470949,57.16451767126959
M3_pten,Base,DG MML1,AS,3,16.358840967216935,151.27500162085062
M3_pten,Base,DG MML1,GZ,3,21.80306443021446,152.03416258674082
