Mouse,Group,TimeFrame,nChannels,PeakSink_CSD,PeakSource_CSD,MaxAbs_CSD,RMS_CSD,PeakNeg_Voltage,PeakPos_Voltage,MaxAbs_Voltage,RMS_Voltage
M13_pten,Base,AS,32,-476.1433711137309,539.3348347125219,539.3348347125219,169.11329779278398,-1447.796648392615,965.2321112639148,1447.796648392615,558.6352990092246
M13_pten,Base,GZ,32,-834.0947835084523,479.1088624864299,834.0947835084523,210.74117451096794,-1660.426867414093,617.8938299229585,1660.426867414093,559.0935821492907
M13_pten,CNO,AS,32,-677.7540073157674,433.1725409885579,677.7540073157674,178.48665588705313,-1378.906883144774,462.084734772297,1378.906883144774,484.2731342097434
M13_pten,CNO,GZ,32,-746.9446936319044,354.7539335395372,746.9446936319044,205.05803629700432,-1461.939751715593,348.724435042026,1461.939751715593,521.6483348630836
M34_ptenblind,Base,AS,32,-340.2754059228142,235.3858655066135,340.2754059228142,114.82105212874302,-975.1407734091351,226.5761126126491,975.1407734091351,376.288492847127
M34_ptenblind,Base,GZ,32,-490.4347081338207,326.4297977570565,490.4347081338207,151.7206170552268,-1124.919203461193,618.3819379962858,1124.919203461193,499.6986109683469
M34_ptenblind,CNO,AS,32,-212.8106682763119,182.9027281131543,212.8106682763119,100.21882956306625,-912.6131230723454,111.0438610861552,912.6131230723454,393.49707512160575
M34_ptenblind,CNO,GZ,32,-363.5757375972061,339.6302675871256,363.5757375972061,150.71143678601084,-1386.631342510429,785.686483986205,1386.631342510429,698.8666692443499
M3_pten,Base,AS,32,-120.5537712205374,80.86750214112635,120.5537712205374,36.736312155515236,-294.3671135486904,244.7604507106692,294.3671135486904,184.72369239610234
M3_pten,Base,GZ,32,-78.5643278328904,64.8056432998076,78.5643278328904,33.80467906404189,-437.7227646760897,249.1975377817623,437.7227646760897,253.83111893572817
M3_pten,CNO,AS,32,-30.47769453824322,34.04944794663787,34.04944794663787,10.956014169017765,-221.9114395922481,130.151730190504,221.9114395922481,186.3273818881243
M3_pten,CNO,GZ,32,-59.13092500420032,92.70485498571901,92.70485498571901,26.02035320203061,-388.2416271772541,511.3198535689891,511.3198535689891,342.46677384321487
M5_Pten,Base,AS,32,-853.3961303398723,1127.784202165922,1127.784202165922,294.7691312031216,-1638.76823963466,1135.138294014199,1638.76823963466,733.7261405329051
M5_Pten,Base,GZ,32,-441.8512159778223,315.402123235887,441.8512159778223,143.98512247209237,-1485.002361360143,1352.870753554047,1485.002361360143,644.1719170907681
M5_Pten,CNO,AS,32,-309.1724968583731,212.5634390984654,309.1724968583731,118.05489375784519,-1131.704786082451,733.3407127864275,1131.704786082451,475.8256775621866
M5_Pten,CNO,GZ,32,-269.3939208984374,329.5674829439084,329.5674829439084,110.93550816759105,-1040.150555291277,1345.106066808768,1345.106066808768,637.5127966314869
m28_ptenblind,Base,AS,32,-340.7496186473485,192.9106846489869,340.7496186473485,122.47151836188212,-1083.097481628671,187.5237429290392,1083.097481628671,481.8406737863865
m28_ptenblind,Base,GZ,32,-537.2174170709425,311.4059202132686,537.2174170709425,222.9792596231309,-1866.976753610079,428.489122234407,1866.976753610079,839.5807498927826
m28_ptenblind,CNO,AS,32,-848.2997533305529,763.34058659156,848.2997533305529,326.7489429973692,-1432.135839185279,1625.430522617957,1625.430522617957,839.3317448366746
m28_ptenblind,CNO,GZ,32,-818.0089150705649,563.020460067257,818.0089150705649,280.2811462192593,-2116.364213286853,778.3995143702778,2116.364213286853,919.4092863561724
