m,s,Valid,Dataset,Session folder,Recording folder,Date,Start time,Duration (s),Duration (mm:ss),Channels,Sampling (Hz),Size (GB),CSC file naming,Detected IEDs,Solid IEDs,% solid,AggSpikes status,Laminar labelling,Sorted-IED CSV,Processed sidecars,Extra recording folders in session dir,Exclusion reason,Genotype,VACC path
2,2,Yes,KCNT1_DATA_NEW,Kcnt1_M2s2,2022-03-18_15-38-40,2022-03-18,15:38:40,2210.8,36:50,128,30000,17.44,CSC<n>.ncs,148,88,59.5,OK,Yes,Yes,3,0,,,/gpfs2/scratch/sakhava1/KCNT1 Urethane/KCNT1_DATA_NEW/Kcnt1_M2s2/2022-03-18_15-38-40
4,2,Yes,KCNT1_DATA_NEW,Kcnt1_M4s2,2022-05-23_17-29-01,2022-05-23,17:29:01,1032.7,17:12,128,30000,8.15,CSC<n>.ncs,40,11,27.5,OK,Yes,Yes,3,0,,,/gpfs2/scratch/sakhava1/KCNT1 Urethane/KCNT1_DATA_NEW/Kcnt1_M4s2/2022-05-23_17-29-01
6,4,Yes,KCNT1_DATA,Kcnt1_M6s4,2022-07-21_17-00-16,2022-07-21,17:00:16,803.0,13:23,128,30000,7.9,CSC<n>.ncs,108,5,4.6,OK,Yes,Yes,14,0,,,/gpfs2/scratch/sakhava1/KCNT1 Urethane/KCNT1_DATA/Kcnt1_M6s4/2022-07-21_17-00-16
7,3,Yes,KCNT1_DATA_NEW,Kcnt1_M7s3,2022-07-26_17-03-22,2022-07-26,17:03:22,1660.0,27:39,128,30000,13.09,CSC<n>_0001.ncs (all 128),143,24,16.8,OK,Yes,Yes,3,0,,,/gpfs2/scratch/sakhava1/KCNT1 Urethane/KCNT1_DATA_NEW/Kcnt1_M7s3/2022-07-26_17-03-22
8,3,Yes,KCNT1_DATA_NEW,Kcnt1_M8s3,2022-07-27_12-40-26,2022-07-27,12:40:26,1173.0,19:33,128,30000,9.26,CSC<n>_0001.ncs (all 128),86,22,25.6,OK,Yes,Yes,3,0,,,/gpfs2/scratch/sakhava1/KCNT1 Urethane/KCNT1_DATA_NEW/Kcnt1_M8s3/2022-07-27_12-40-26
9,3,Yes,KCNT1_DATA,Kcnt1_M9s3,2022-07-27_16-43-00,2022-07-27,16:43:00,1425.8,23:45,128,30000,12.56,CSC<n>_0001.ncs (all 128),105,13,12.4,OK,Yes,Yes,14,0,,,/gpfs2/scratch/sakhava1/KCNT1 Urethane/KCNT1_DATA/Kcnt1_M9s3/2022-07-27_16-43-00
12,4,Yes,KCNT1_DATA,Kcnt1_M12s4,2022-08-05_16-46-17,2022-08-05,16:46:17,1851.5,30:51,128,30000,14.62,CSC<n>_0001.ncs (all 128),116,5,4.3,OK,Yes,Yes,14,0,,,/gpfs2/scratch/sakhava1/KCNT1 Urethane/KCNT1_DATA/Kcnt1_M12s4/2022-08-05_16-46-17
14,2,Yes,KCNT1_DATA_NEW,Kcnt1_M14s2,2022-10-19_15-47-43,2022-10-19,15:47:43,1811.4,30:11,128,30000,14.29,"CSC<n>.ncs for ch 1-64, CSC<n>_0001.ncs for ch 65-128",114,53,46.5,OK,Yes,Yes,3,"60 (header-only stubs, no samples)",,,/gpfs2/scratch/sakhava1/KCNT1 Urethane/KCNT1_DATA_NEW/Kcnt1_M14s2/2022-10-19_15-47-43
15,4,Yes,KCNT1_DATA,Kcnt1_M15s4,2022-10-24_17-25-21,2022-10-24,17:25:21,981.7,16:21,128,30000,7.75,CSC<n>.ncs,34,14,41.2,OK,Yes,Yes,14,0,,,/gpfs2/scratch/sakhava1/KCNT1 Urethane/KCNT1_DATA/Kcnt1_M15s4/2022-10-24_17-25-21
15,6,Yes,KCNT1_DATA,Kcnt1_M15s6,2022-10-24_17-54-58,2022-10-24,17:54:58,1868.0,31:07,128,30000,14.74,CSC<n>.ncs,68,25,36.8,OK,Yes,Yes,14,0,,,/gpfs2/scratch/sakhava1/KCNT1 Urethane/KCNT1_DATA/Kcnt1_M15s6/2022-10-24_17-54-58
19,4,Yes,KCNT1_DATA_NEW,Kcnt1_M19s4,2022-12-13_14-51-01,2022-12-13,14:51:01,1994.4,33:14,128,30000,15.73,CSC<n>.ncs,131,22,16.8,OK,Yes,No,3,0,,,/gpfs2/scratch/sakhava1/KCNT1 Urethane/KCNT1_DATA_NEW/Kcnt1_M19s4/2022-12-13_14-51-01
