ks_channel_0based,binary_row,ncs_file,csc,nlx_ad_channel,probe_pin,shank,kcoords,column,screen_window,slot_from_top,x_um,y_um_above_tip,decode
0,0,CSC1.ncs,CSC1,84,21,back,0,centre,W1,0,18.5,330.0,hw-63
1,1,CSC2.ncs,CSC2,104,41,back,0,left,W3,1,0.0,315.0,hw-63
2,2,CSC3.ncs,CSC3,95,32,back,0,right,W4,1,37.0,315.0,hw-63
3,3,CSC4.ncs,CSC4,106,43,back,0,centre,W1,2,18.5,300.0,hw-63
4,4,CSC5.ncs,CSC5,105,42,back,0,left,W3,3,0.0,285.0,hw-63
5,5,CSC6.ncs,CSC6,91,28,back,0,right,W4,3,37.0,285.0,hw-63
6,6,CSC7.ncs,CSC7,86,23,back,0,centre,W1,4,18.5,270.0,hw-63
7,7,CSC8.ncs,CSC8,107,44,back,0,left,W3,5,0.0,255.0,hw-63
8,8,CSC9.ncs,CSC9,85,22,back,0,right,W4,5,37.0,255.0,hw-63
9,9,CSC10.ncs,CSC10,87,24,back,0,centre,W1,6,18.5,240.0,hw-63
10,10,CSC11.ncs,CSC11,98,35,back,0,left,W3,7,0.0,225.0,hw-63
11,11,CSC12.ncs,CSC12,89,26,back,0,right,W4,7,37.0,225.0,hw-63
12,12,CSC13.ncs,CSC13,93,30,back,0,centre,W1,8,18.5,210.0,hw-63
13,13,CSC14.ncs,CSC14,99,36,back,0,left,W3,9,0.0,195.0,hw-63
14,14,CSC15.ncs,CSC15,88,25,back,0,right,W4,9,37.0,195.0,hw-63
15,15,CSC16.ncs,CSC16,92,29,back,0,centre,W1,10,18.5,180.0,hw-63
16,16,CSC17.ncs,CSC17,112,49,back,0,left,W3,11,0.0,165.0,hw-63
17,17,CSC18.ncs,CSC18,80,17,back,0,right,W4,11,37.0,165.0,hw-63
18,18,CSC19.ncs,CSC19,79,16,back,0,centre,W1,12,18.5,150.0,hw-63
19,19,CSC20.ncs,CSC20,110,47,back,0,left,W3,13,0.0,135.0,hw-63
20,20,CSC21.ncs,CSC21,82,19,back,0,right,W4,13,37.0,135.0,hw-63
21,21,CSC22.ncs,CSC22,100,37,back,0,centre,W1,14,18.5,120.0,hw-63
22,22,CSC23.ncs,CSC23,108,45,back,0,left,W3,15,0.0,105.0,hw-63
23,23,CSC24.ncs,CSC24,90,27,back,0,right,W4,15,37.0,105.0,hw-63
24,24,CSC25.ncs,CSC25,96,33,back,0,centre,W1,16,18.5,90.0,hw-63
25,25,CSC26.ncs,CSC26,101,38,back,0,left,W3,17,0.0,75.0,hw-63
26,26,CSC27.ncs,CSC27,83,20,back,0,right,W4,17,37.0,75.0,hw-63
27,27,CSC28.ncs,CSC28,102,39,back,0,centre,W1,18,18.5,60.0,hw-63
28,28,CSC29.ncs,CSC29,109,46,back,0,left,W3,19,0.0,45.0,hw-63
29,29,CSC30.ncs,CSC30,81,18,back,0,right,W4,19,37.0,45.0,hw-63
30,30,CSC31.ncs,CSC31,103,40,back,0,centre,W1,20,18.5,30.0,hw-63
31,31,CSC32.ncs,CSC32,60,48,back,0,centre,W1,22,18.5,0.0,special (see header)
32,32,CSC33.ncs,CSC33,127,64,front,1,centre,W2,0,168.5,330.0,hw-63
33,33,CSC34.ncs,CSC34,68,5,front,1,left,W6,1,150.0,315.0,hw-63
34,34,CSC35.ncs,CSC35,122,59,front,1,right,W5,1,187.0,315.0,hw-63
35,35,CSC36.ncs,CSC36,65,2,front,1,centre,W2,2,168.5,300.0,hw-63
36,36,CSC37.ncs,CSC37,66,3,front,1,left,W6,3,150.0,285.0,hw-63
37,37,CSC38.ncs,CSC38,124,61,front,1,right,W5,3,187.0,285.0,hw-63
38,38,CSC39.ncs,CSC39,125,62,front,1,centre,W2,4,168.5,270.0,hw-63
39,39,CSC40.ncs,CSC40,64,1,front,1,left,W6,5,150.0,255.0,hw-63
40,40,CSC41.ncs,CSC41,126,63,front,1,right,W5,5,187.0,255.0,hw-63
41,41,CSC42.ncs,CSC42,123,60,front,1,centre,W2,6,168.5,240.0,hw-63
42,42,CSC43.ncs,CSC43,70,7,front,1,left,W6,7,150.0,225.0,hw-63
43,43,CSC44.ncs,CSC44,120,57,front,1,right,W5,7,187.0,225.0,hw-63
44,44,CSC45.ncs,CSC45,121,58,front,1,centre,W2,8,168.5,210.0,hw-63
45,45,CSC46.ncs,CSC46,72,9,front,1,left,W6,9,150.0,195.0,hw-63
46,46,CSC47.ncs,CSC47,118,55,front,1,right,W5,9,187.0,195.0,hw-63
47,47,CSC48.ncs,CSC48,119,56,front,1,centre,W2,10,168.5,180.0,hw-63
48,48,CSC49.ncs,CSC49,74,11,front,1,left,W6,11,150.0,165.0,hw-63
49,49,CSC50.ncs,CSC50,116,53,front,1,right,W5,11,187.0,165.0,hw-63
50,50,CSC51.ncs,CSC51,117,54,front,1,centre,W2,12,168.5,150.0,hw-63
51,51,CSC52.ncs,CSC52,76,13,front,1,left,W6,13,150.0,135.0,hw-63
52,52,CSC53.ncs,CSC53,114,51,front,1,right,W5,13,187.0,135.0,hw-63
53,53,CSC54.ncs,CSC54,67,4,front,1,centre,W2,14,168.5,120.0,hw-63
54,54,CSC55.ncs,CSC55,78,15,front,1,left,W6,15,150.0,105.0,hw-63
55,55,CSC56.ncs,CSC56,97,34,front,1,right,W5,15,187.0,105.0,hw-63
56,56,CSC57.ncs,CSC57,69,6,front,1,centre,W2,16,168.5,90.0,hw-63
