Probe: cambridgeneurotech / ASSY-77-H10
ndim: 2   units: um
contacts: 64   shanks: 2
annotations: {'manufacturer': 'cambridgeneurotech', 'model_name': 'ASSY-77-H10'}

per-contact layout:
    x     y contact_shapes  width  height shank_ids contact_ids
 18.5 330.0           rect   11.0    15.0         0           1
 37.0 255.0           rect   11.0    15.0         0           2
 18.5 270.0           rect   11.0    15.0         0           3
 37.0 285.0           rect   11.0    15.0         0           4
 18.5 240.0           rect   11.0    15.0         0           5
 37.0 315.0           rect   11.0    15.0         0           6
 18.5 210.0           rect   11.0    15.0         0           7
 37.0 225.0           rect   11.0    15.0         0           8
 18.5 180.0           rect   11.0    15.0         0           9
 37.0 195.0           rect   11.0    15.0         0          10
 18.5 150.0           rect   11.0    15.0         0          11
 37.0 165.0           rect   11.0    15.0         0          12
 37.0  45.0           rect   11.0    15.0         0          13
 37.0 135.0           rect   11.0    15.0         0          14
 37.0  75.0           rect   11.0    15.0         0          15
  0.0 165.0           rect   11.0    15.0         0          16
 18.5   0.0           rect   11.0    15.0         0          17
  0.0 135.0           rect   11.0    15.0         0          18
  0.0  45.0           rect   11.0    15.0         0          19
  0.0 105.0           rect   11.0    15.0         0          20
  0.0 255.0           rect   11.0    15.0         0          21
 18.5 300.0           rect   11.0    15.0         0          22
  0.0 285.0           rect   11.0    15.0         0          23
  0.0 315.0           rect   11.0    15.0         0          24
 18.5  30.0           rect   11.0    15.0         0          25
 18.5  60.0           rect   11.0    15.0         0          26
  0.0  75.0           rect   11.0    15.0         0          27
 18.5 120.0           rect   11.0    15.0         0          28
  0.0 195.0           rect   11.0    15.0         0          29
  0.0 225.0           rect   11.0    15.0         0          30
 37.0 105.0           rect   11.0    15.0         0          31
 18.5  90.0           rect   11.0    15.0         0          32
187.0 315.0           rect   11.0    15.0         1          33
150.0  75.0           rect   11.0    15.0         1          34
168.5 210.0           rect   11.0    15.0         1          35
168.5 180.0           rect   11.0    15.0         1          36
187.0 285.0           rect   11.0    15.0         1          37
187.0 105.0           rect   11.0    15.0         1          38
187.0 225.0           rect   11.0    15.0         1          39
187.0 195.0           rect   11.0    15.0         1          40
168.5 240.0           rect   11.0    15.0         1          41
168.5 270.0           rect   11.0    15.0         1          42
187.0 255.0           rect   11.0    15.0         1          43
168.5 330.0           rect   11.0    15.0         1          44
187.0  75.0           rect   11.0    15.0         1          45
187.0 135.0           rect   11.0    15.0         1          46
187.0  45.0           rect   11.0    15.0         1          47
187.0 165.0           rect   11.0    15.0         1          48
168.5 150.0           rect   11.0    15.0         1          49
150.0 105.0           rect   11.0    15.0         1          50
150.0  45.0           rect   11.0    15.0         1          51
150.0 135.0           rect   11.0    15.0         1          52
168.5   0.0           rect   11.0    15.0         1          53
150.0 165.0           rect   11.0    15.0         1          54
168.5  30.0           rect   11.0    15.0         1          55
150.0 195.0           rect   11.0    15.0         1          56
168.5  60.0           rect   11.0    15.0         1          57
150.0 225.0           rect   11.0    15.0         1          58
168.5  90.0           rect   11.0    15.0         1          59
150.0 315.0           rect   11.0    15.0         1          60
168.5 120.0           rect   11.0    15.0         1          61
150.0 285.0           rect   11.0    15.0         1          62
168.5 300.0           rect   11.0    15.0         1          63
150.0 255.0           rect   11.0    15.0         1          64
